cyclone_id,storm_name,basin,atcf_id,timestamp,temporal_offset_h,tcir_lat,tcir_lon,tcir_vmax,tcir_mslp,ships_lat,ships_lon,center_dist_km,rsst_c,cohc_kj_cm2,shrd_kt,rhmd_pct,dtl_km
201003I,Super Cyclone Phet,IO,IO032010,2010053100,0,14.5,64.4,25.0,1004.0,14.5,64.4,0.0,31.5,77.0,17.5,57.0,897.0
201003I,Super Cyclone Phet,IO,IO032010,2010053103,-3,14.6,64.3,28.0,1003.0,14.5,64.4,15.5,31.5,77.0,17.5,57.0,897.0
201003I,Super Cyclone Phet,IO,IO032010,2010053106,0,14.7,64.2,30.0,1001.0,14.7,64.2,0.0,31.5,74.0,14.0,50.0,867.0
201003I,Super Cyclone Phet,IO,IO032010,2010053109,-3,14.8,64.1,30.0,1001.0,14.7,64.2,15.5,31.5,74.0,14.0,50.0,867.0
201003I,Super Cyclone Phet,IO,IO032010,2010053112,0,15.0,64.0,30.0,1000.0,15.0,64.0,0.0,31.5,71.0,15.6,49.0,830.0
201003I,Super Cyclone Phet,IO,IO032010,2010053115,-3,15.2,63.9,33.0,998.0,15.0,64.0,24.7,31.5,71.0,15.6,49.0,830.0
201003I,Super Cyclone Phet,IO,IO032010,2010053118,0,15.4,63.7,35.0,996.0,15.4,63.7,0.0,31.5,69.0,14.7,52.0,779.0
201003I,Super Cyclone Phet,IO,IO032010,2010053121,-3,15.6,63.5,40.0,993.0,15.4,63.7,30.9,31.5,69.0,14.7,52.0,779.0
201003I,Super Cyclone Phet,IO,IO032010,2010060100,0,15.8,63.2,45.0,989.0,15.8,63.2,0.0,31.5,64.0,16.5,51.0,710.0
201003I,Super Cyclone Phet,IO,IO032010,2010060103,-3,16.1,63.0,50.0,986.0,15.8,63.2,39.6,31.5,64.0,16.5,51.0,710.0
201003I,Super Cyclone Phet,IO,IO032010,2010060106,0,16.3,62.7,55.0,982.0,16.3,62.7,0.0,31.5,60.0,12.7,47.0,636.0
201003I,Super Cyclone Phet,IO,IO032010,2010060109,-3,16.6,62.5,58.0,980.0,16.3,62.7,39.6,31.5,60.0,12.7,47.0,636.0
201003I,Super Cyclone Phet,IO,IO032010,2010060112,0,16.8,62.3,60.0,978.0,16.8,62.3,0.0,31.5,56.0,8.3,42.0,573.0
201003I,Super Cyclone Phet,IO,IO032010,2010060115,-3,17.0,62.0,68.0,973.0,16.8,62.3,38.9,31.5,56.0,8.3,42.0,573.0
201003I,Super Cyclone Phet,IO,IO032010,2010060118,0,17.1,61.6,75.0,967.0,17.1,61.6,0.0,31.4,53.0,15.5,46.0,491.0
201003I,Super Cyclone Phet,IO,IO032010,2010060121,-3,17.2,61.3,83.0,962.0,17.1,61.6,33.8,31.4,53.0,15.5,46.0,491.0
201003I,Super Cyclone Phet,IO,IO032010,2010060200,0,17.4,61.0,90.0,956.0,17.4,61.0,0.0,31.3,50.0,15.8,43.0,420.0
201003I,Super Cyclone Phet,IO,IO032010,2010060203,-3,17.6,60.8,103.0,947.0,17.4,61.0,30.7,31.3,50.0,15.8,43.0,420.0
201003I,Super Cyclone Phet,IO,IO032010,2010060206,0,17.8,60.5,115.0,937.0,17.8,60.5,0.0,31.1,50.0,17.6,41.0,353.0
201003I,Super Cyclone Phet,IO,IO032010,2010060209,-3,18.0,60.2,120.0,933.0,17.8,60.5,38.8,31.1,50.0,17.6,41.0,353.0
201003I,Super Cyclone Phet,IO,IO032010,2010060212,0,18.2,60.0,125.0,929.0,18.2,60.0,0.0,30.7,48.0,20.7,43.0,288.0
201003I,Super Cyclone Phet,IO,IO032010,2010060215,-3,18.3,59.9,123.0,931.0,18.2,60.0,15.3,30.7,48.0,20.7,43.0,288.0
201003I,Super Cyclone Phet,IO,IO032010,2010060218,0,18.4,59.7,120.0,933.0,18.4,59.7,0.0,30.5,47.0,24.7,44.0,250.0
201003I,Super Cyclone Phet,IO,IO032010,2010060221,-3,18.4,59.7,120.0,933.0,18.4,59.7,0.0,30.5,47.0,24.7,44.0,250.0
201003I,Super Cyclone Phet,IO,IO032010,2010060300,0,18.5,59.6,120.0,933.0,18.5,59.6,0.0,30.4,45.0,24.4,46.0,237.0
201003I,Super Cyclone Phet,IO,IO032010,2010060303,-3,18.8,59.6,118.0,935.0,18.5,59.6,33.4,30.4,45.0,24.4,46.0,237.0
201003I,Super Cyclone Phet,IO,IO032010,2010060306,0,19.1,59.6,115.0,937.0,19.1,59.6,0.0,30.2,44.0,18.7,41.0,209.0
201003I,Super Cyclone Phet,IO,IO032010,2010060309,-3,19.6,59.5,113.0,939.0,19.1,59.6,56.6,30.2,44.0,18.7,41.0,209.0
201003I,Super Cyclone Phet,IO,IO032010,2010060312,0,20.0,59.5,110.0,941.0,20.0,59.5,0.0,30.1,41.0,11.1,39.0,140.0
201003I,Super Cyclone Phet,IO,IO032010,2010060315,-3,20.4,59.4,108.0,943.0,20.0,59.5,45.7,30.1,41.0,11.1,39.0,140.0
201003I,Super Cyclone Phet,IO,IO032010,2010060318,0,20.8,59.2,105.0,944.0,20.8,59.2,0.0,30.1,30.0,7.7,39.0,59.0
201003I,Super Cyclone Phet,IO,IO032010,2010060321,-3,21.1,59.2,98.0,950.0,20.8,59.2,33.4,30.1,30.0,7.7,39.0,59.0
201003I,Super Cyclone Phet,IO,IO032010,2010060400,0,21.5,59.1,90.0,956.0,21.5,59.1,0.0,30.3,17.0,8.6,34.0,2.0
201003I,Super Cyclone Phet,IO,IO032010,2010060403,-3,21.9,59.2,83.0,962.0,21.5,59.1,45.7,30.3,17.0,8.6,34.0,2.0
201003I,Super Cyclone Phet,IO,IO032010,2010060406,0,22.3,59.2,75.0,967.0,22.3,59.2,0.0,30.8,13.0,7.1,31.0,-35.0
201003I,Super Cyclone Phet,IO,IO032010,2010060409,-3,22.6,59.3,70.0,971.0,22.3,59.2,34.9,30.8,13.0,7.1,31.0,-35.0
201003I,Super Cyclone Phet,IO,IO032010,2010060412,0,23.0,59.4,65.0,974.0,23.0,59.4,0.0,31.0,16.0,7.1,28.0,25.0
201003I,Super Cyclone Phet,IO,IO032010,2010060415,-3,23.3,59.5,60.0,978.0,23.0,59.4,34.9,31.0,16.0,7.1,28.0,25.0
201003I,Super Cyclone Phet,IO,IO032010,2010060418,0,23.6,59.7,55.0,982.0,23.6,59.7,0.0,31.1,19.0,8.9,28.0,91.0
201003I,Super Cyclone Phet,IO,IO032010,2010060421,-3,23.8,60.0,50.0,986.0,23.6,59.7,37.8,31.1,19.0,8.9,28.0,91.0
201003I,Super Cyclone Phet,IO,IO032010,2010060500,0,23.9,60.3,45.0,989.0,23.9,60.3,0.0,30.4,21.0,7.6,30.0,147.0
201003I,Super Cyclone Phet,IO,IO032010,2010060503,-3,23.9,60.6,43.0,991.0,23.9,60.3,30.5,30.4,21.0,7.6,30.0,147.0
201003I,Super Cyclone Phet,IO,IO032010,2010060506,0,23.8,61.0,40.0,993.0,23.8,61.0,0.0,30.2,22.0,2.3,29.0,149.0
201003I,Super Cyclone Phet,IO,IO032010,2010060509,-3,23.6,61.3,40.0,993.0,23.8,61.0,37.8,30.2,22.0,2.3,29.0,149.0
201003I,Super Cyclone Phet,IO,IO032010,2010060512,0,23.5,61.6,40.0,993.0,23.5,61.6,0.0,30.1,25.0,10.7,34.0,179.0
201003I,Super Cyclone Phet,IO,IO032010,2010060515,-3,23.4,62.0,38.0,995.0,23.5,61.6,42.3,30.1,25.0,10.7,34.0,179.0
201003I,Super Cyclone Phet,IO,IO032010,2010060518,0,23.2,62.4,35.0,996.0,23.2,62.4,0.0,30.1,28.0,2.1,35.0,224.0
201003I,Super Cyclone Phet,IO,IO032010,2010060521,-3,23.0,63.2,35.0,996.0,23.2,62.4,84.8,30.1,28.0,2.1,35.0,224.0
201003I,Super Cyclone Phet,IO,IO032010,2010060600,0,22.9,64.1,35.0,996.0,22.9,64.1,0.0,30.4,37.0,6.3,41.0,259.0
201003I,Super Cyclone Phet,IO,IO032010,2010060603,-3,23.1,64.9,35.0,996.0,22.9,64.1,84.9,30.4,37.0,6.3,41.0,259.0
201003I,Super Cyclone Phet,IO,IO032010,2010060606,0,23.4,65.8,35.0,996.0,23.4,65.8,0.0,30.3,41.0,22.4,43.0,182.0
201003I,Super Cyclone Phet,IO,IO032010,2010060609,-3,24.0,66.5,33.0,998.0,23.4,65.8,97.6,30.3,41.0,22.4,43.0,182.0
201003I,Super Cyclone Phet,IO,IO032010,2010060612,0,24.6,67.3,30.0,1000.0,24.6,67.3,0.0,29.7,32.0,31.3,48.0,-19.0
201003I,Super Cyclone Phet,IO,IO032010,2010060615,-3,24.9,67.8,30.0,1000.0,24.6,67.3,60.5,29.7,32.0,31.3,48.0,-19.0
201003I,Super Cyclone Phet,IO,IO032010,2010060618,0,25.2,68.3,30.0,1000.0,25.2,68.3,0.0,29.4,36.0,,,-139.0
201003I,Super Cyclone Phet,IO,IO032010,2010060621,-3,25.7,69.2,28.0,1002.0,25.2,68.3,106.1,29.4,36.0,,,-139.0
201003I,Super Cyclone Phet,IO,IO032010,2010060700,0,26.2,70.1,25.0,1004.0,26.2,70.1,0.0,28.0,36.0,,,-333.0
201003I,Super Cyclone Phet,IO,IO032010,2010060703,-3,26.9,71.7,28.0,1002.0,26.2,70.1,177.2,28.0,36.0,,,-333.0
200801I,VSCS Nargis,IO,IO012008,2008042618,0,11.5,87.2,25.0,1004.0,11.5,87.2,0.0,30.1,81.0,7.9,66.0,726.0
200801I,VSCS Nargis,IO,IO012008,2008042621,-3,11.6,87.0,25.0,1003.0,11.5,87.2,24.5,30.1,81.0,7.9,66.0,726.0
200801I,VSCS Nargis,IO,IO012008,2008042700,0,11.6,86.7,25.0,1002.0,11.6,86.7,0.0,30.1,84.0,9.5,62.0,686.0
200801I,VSCS Nargis,IO,IO012008,2008042703,-3,11.6,86.5,28.0,1001.0,11.6,86.7,21.8,30.1,84.0,9.5,62.0,686.0
200801I,VSCS Nargis,IO,IO012008,2008042706,0,11.7,86.3,30.0,1000.0,11.7,86.3,0.0,30.1,88.0,7.7,58.0,655.0
200801I,VSCS Nargis,IO,IO012008,2008042709,-3,11.9,86.1,33.0,998.0,11.7,86.3,31.1,30.1,88.0,7.7,58.0,655.0
200801I,VSCS Nargis,IO,IO012008,2008042712,0,12.2,85.9,35.0,996.0,12.2,85.9,0.0,30.1,90.0,10.4,58.0,605.0
200801I,VSCS Nargis,IO,IO012008,2008042715,-3,12.3,85.8,40.0,993.0,12.2,85.9,15.5,30.1,90.0,10.4,58.0,605.0
200801I,VSCS Nargis,IO,IO012008,2008042718,0,12.5,85.7,45.0,989.0,12.5,85.7,0.0,30.1,91.0,9.5,55.0,566.0
200801I,VSCS Nargis,IO,IO012008,2008042721,-3,12.7,85.7,50.0,986.0,12.5,85.7,22.2,30.1,91.0,9.5,55.0,566.0
200801I,VSCS Nargis,IO,IO012008,2008042800,0,12.8,85.6,55.0,982.0,12.8,85.6,0.0,30.1,92.0,8.8,52.0,534.0
200801I,VSCS Nargis,IO,IO012008,2008042803,-3,12.9,85.6,60.0,978.0,12.8,85.6,11.1,30.1,92.0,8.8,52.0,534.0
200801I,VSCS Nargis,IO,IO012008,2008042806,0,13.1,85.6,65.0,974.0,13.1,85.6,0.0,30.1,92.0,0.3,48.0,510.0
200801I,VSCS Nargis,IO,IO012008,2008042809,-3,13.0,85.4,68.0,972.0,13.1,85.6,24.4,30.1,92.0,0.3,48.0,510.0
200801I,VSCS Nargis,IO,IO012008,2008042812,0,12.9,85.3,70.0,970.0,12.9,85.3,0.0,30.1,93.0,8.2,50.0,504.0
200801I,VSCS Nargis,IO,IO012008,2008042815,-3,13.1,85.3,73.0,969.0,12.9,85.3,22.2,30.1,93.0,8.2,50.0,504.0
200801I,VSCS Nargis,IO,IO012008,2008042818,0,13.2,85.3,75.0,967.0,13.2,85.3,0.0,30.1,92.0,13.4,56.0,479.0
200801I,VSCS Nargis,IO,IO012008,2008042821,-3,13.2,85.4,75.0,967.0,13.2,85.3,10.8,30.1,92.0,13.4,56.0,479.0
200801I,VSCS Nargis,IO,IO012008,2008042900,0,13.3,85.6,75.0,967.0,13.3,85.6,0.0,30.1,91.0,11.1,56.0,495.0
200801I,VSCS Nargis,IO,IO012008,2008042903,-3,13.2,85.7,75.0,967.0,13.3,85.6,15.5,30.1,91.0,11.1,56.0,495.0
200801I,VSCS Nargis,IO,IO012008,2008042906,0,13.1,85.8,75.0,967.0,13.1,85.8,0.0,30.1,91.0,6.3,53.0,526.0
200801I,VSCS Nargis,IO,IO012008,2008042909,-3,13.3,86.0,73.0,969.0,13.1,85.8,31.0,30.1,91.0,6.3,53.0,526.0
200801I,VSCS Nargis,IO,IO012008,2008042912,0,13.5,86.2,70.0,970.0,13.5,86.2,0.0,30.1,88.0,6.0,50.0,530.0
200801I,VSCS Nargis,IO,IO012008,2008042915,-3,13.8,86.4,70.0,970.0,13.5,86.2,39.7,30.1,88.0,6.0,50.0,530.0
200801I,VSCS Nargis,IO,IO012008,2008042918,0,14.0,86.6,70.0,970.0,14.0,86.6,0.0,30.1,86.0,3.3,52.0,537.0
200801I,VSCS Nargis,IO,IO012008,2008042921,-3,14.2,86.7,70.0,970.0,14.0,86.6,24.7,30.1,86.0,3.3,52.0,537.0
200801I,VSCS Nargis,IO,IO012008,2008043000,0,14.4,86.7,70.0,970.0,14.4,86.7,0.0,30.1,85.0,5.8,53.0,521.0
200801I,VSCS Nargis,IO,IO012008,2008043003,-3,14.6,86.8,65.0,974.0,14.4,86.7,24.7,30.1,85.0,5.8,53.0,521.0
200801I,VSCS Nargis,IO,IO012008,2008043006,0,14.7,87.0,60.0,978.0,14.7,87.0,0.0,30.0,86.0,7.0,47.0,516.0
200801I,VSCS Nargis,IO,IO012008,2008043009,-3,14.8,87.2,63.0,976.0,14.7,87.0,24.2,30.0,86.0,7.0,47.0,516.0
200801I,VSCS Nargis,IO,IO012008,2008043012,0,15.0,87.5,65.0,974.0,15.0,87.5,0.0,30.0,89.0,10.0,49.0,526.0
200801I,VSCS Nargis,IO,IO012008,2008043015,-3,15.2,87.8,65.0,974.0,15.0,87.5,39.1,30.0,89.0,10.0,49.0,526.0
200801I,VSCS Nargis,IO,IO012008,2008043018,0,15.3,88.2,65.0,974.0,15.3,88.2,0.0,30.0,89.0,9.9,53.0,549.0
200801I,VSCS Nargis,IO,IO012008,2008043021,-3,15.4,88.6,65.0,974.0,15.3,88.2,44.3,30.0,89.0,9.9,53.0,549.0
200801I,VSCS Nargis,IO,IO012008,2008050100,0,15.6,89.0,65.0,974.0,15.6,89.0,0.0,30.0,85.0,10.5,52.0,557.0
200801I,VSCS Nargis,IO,IO012008,2008050103,-3,15.8,89.4,68.0,972.0,15.6,89.0,48.2,30.0,85.0,10.5,52.0,557.0
200801I,VSCS Nargis,IO,IO012008,2008050106,0,15.9,89.8,70.0,970.0,15.9,89.8,0.0,29.9,81.0,15.8,54.0,481.0
200801I,VSCS Nargis,IO,IO012008,2008050109,-3,15.9,90.2,85.0,959.0,15.9,89.8,42.8,29.9,81.0,15.8,54.0,481.0
200801I,VSCS Nargis,IO,IO012008,2008050112,0,15.9,90.7,100.0,948.0,15.9,90.7,0.0,29.9,73.0,11.6,59.0,385.0
200801I,VSCS Nargis,IO,IO012008,2008050115,-3,15.9,91.2,100.0,948.0,15.9,90.7,53.5,29.9,73.0,11.6,59.0,385.0
200801I,VSCS Nargis,IO,IO012008,2008050118,0,15.8,91.7,100.0,948.0,15.8,91.7,0.0,29.8,70.0,10.8,63.0,279.0
200801I,VSCS Nargis,IO,IO012008,2008050121,-3,15.8,92.2,105.0,945.0,15.8,91.7,53.5,29.8,70.0,10.8,63.0,279.0
200801I,VSCS Nargis,IO,IO012008,2008050200,0,15.8,92.7,110.0,941.0,15.8,92.7,0.0,29.6,69.0,13.3,64.0,172.0
200801I,VSCS Nargis,IO,IO012008,2008050203,-3,15.9,93.2,113.0,939.0,15.8,92.7,54.6,29.6,69.0,13.3,64.0,172.0
200801I,VSCS Nargis,IO,IO012008,2008050206,0,15.9,93.6,115.0,937.0,15.9,93.6,0.0,29.5,66.0,13.5,67.0,76.0
200801I,VSCS Nargis,IO,IO012008,2008050209,-3,15.9,94.2,115.0,937.0,15.9,93.6,64.2,29.5,66.0,13.5,67.0,76.0
200801I,VSCS Nargis,IO,IO012008,2008050212,0,16.0,94.7,115.0,937.0,16.0,94.7,0.0,29.6,59.0,12.3,65.0,-11.0
200801I,VSCS Nargis,IO,IO012008,2008050215,-3,16.2,95.2,100.0,950.0,16.0,94.7,57.9,29.6,59.0,12.3,65.0,-11.0
200801I,VSCS Nargis,IO,IO012008,2008050218,0,16.4,95.6,85.0,963.0,16.4,95.6,0.0,29.9,54.0,8.7,66.0,-52.0
200801I,VSCS Nargis,IO,IO012008,2008050221,-3,16.6,96.0,78.0,967.0,16.4,95.6,48.1,29.9,54.0,8.7,66.0,-52.0
200801I,VSCS Nargis,IO,IO012008,2008050300,0,16.8,96.4,70.0,970.0,16.8,96.4,0.0,30.2,50.0,11.9,69.0,-37.0
200801I,VSCS Nargis,IO,IO012008,2008050303,-3,17.1,96.8,60.0,978.0,16.8,96.4,54.1,30.2,50.0,11.9,69.0,-37.0
200801I,VSCS Nargis,IO,IO012008,2008050306,0,17.4,97.1,50.0,985.0,17.4,97.1,0.0,30.0,16.0,7.3,68.0,-67.0
200801I,VSCS Nargis,IO,IO012008,2008050309,-3,17.9,97.3,45.0,989.0,17.4,97.1,59.5,30.0,16.0,7.3,68.0,-67.0
200801I,VSCS Nargis,IO,IO012008,2008050312,0,18.3,97.6,40.0,993.0,18.3,97.6,0.0,29.0,9.0,4.9,71.0,-177.0
200801I,VSCS Nargis,IO,IO012008,2008050315,-3,18.9,97.7,35.0,997.0,18.3,97.6,67.5,29.0,9.0,4.9,71.0,-177.0
200801I,VSCS Nargis,IO,IO012008,2008050318,0,19.4,97.8,30.0,1000.0,19.4,97.8,0.0,28.4,9.0,,,-300.0
200801I,VSCS Nargis,IO,IO012008,2008050321,-3,20.1,98.2,28.0,1002.0,19.4,97.8,88.4,28.4,9.0,,,-300.0
200801I,VSCS Nargis,IO,IO012008,2008050400,0,20.8,98.5,25.0,1004.0,20.8,98.5,0.0,27.9,9.0,,,-471.0
201004I,Super Cyclone Giri,IO,IO042010,2010102000,0,17.0,92.1,25.0,1004.0,17.0,92.1,0.0,29.7,74.0,10.6,69.0,254.0
201004I,Super Cyclone Giri,IO,IO042010,2010102003,-3,17.0,91.9,28.0,1002.0,17.0,92.1,21.3,29.7,74.0,10.6,69.0,254.0
201004I,Super Cyclone Giri,IO,IO042010,2010102006,0,17.0,91.8,30.0,1000.0,17.0,91.8,0.0,29.7,75.0,8.4,67.0,285.0
201004I,Super Cyclone Giri,IO,IO042010,2010102009,-3,16.9,91.7,30.0,1000.0,17.0,91.8,15.4,29.7,75.0,8.4,67.0,285.0
201004I,Super Cyclone Giri,IO,IO042010,2010102012,0,16.8,91.5,30.0,1000.0,16.8,91.5,0.0,29.6,75.0,8.8,69.0,310.0
201004I,Super Cyclone Giri,IO,IO042010,2010102015,-3,17.0,91.5,33.0,998.0,16.8,91.5,22.2,29.6,75.0,8.8,69.0,310.0
201004I,Super Cyclone Giri,IO,IO042010,2010102018,0,17.1,91.6,35.0,996.0,17.1,91.6,0.0,29.6,75.0,14.0,70.0,307.0
201004I,Super Cyclone Giri,IO,IO042010,2010102021,-3,17.2,91.5,43.0,991.0,17.1,91.6,15.4,29.6,75.0,14.0,70.0,307.0
201004I,Super Cyclone Giri,IO,IO042010,2010102100,0,17.3,91.5,50.0,985.0,17.3,91.5,0.0,29.7,75.0,9.4,68.0,311.0
201004I,Super Cyclone Giri,IO,IO042010,2010102103,-3,17.4,91.7,53.0,984.0,17.3,91.5,24.0,29.7,75.0,9.4,68.0,311.0
201004I,Super Cyclone Giri,IO,IO042010,2010102106,0,17.5,91.8,55.0,982.0,17.5,91.8,0.0,29.7,75.0,12.8,72.0,274.0
201004I,Super Cyclone Giri,IO,IO042010,2010102109,-3,17.6,92.0,60.0,978.0,17.5,91.8,23.9,29.7,75.0,12.8,72.0,274.0
201004I,Super Cyclone Giri,IO,IO042010,2010102112,0,17.8,92.2,65.0,974.0,17.8,92.2,0.0,29.8,74.0,8.5,74.0,225.0
201004I,Super Cyclone Giri,IO,IO042010,2010102115,-3,18.0,92.3,68.0,972.0,17.8,92.2,24.6,29.8,74.0,8.5,74.0,225.0
201004I,Super Cyclone Giri,IO,IO042010,2010102118,0,18.1,92.4,70.0,970.0,18.1,92.4,0.0,29.8,73.0,6.6,74.0,193.0
201004I,Super Cyclone Giri,IO,IO042010,2010102121,-3,18.3,92.5,80.0,963.0,18.1,92.4,24.6,29.8,73.0,6.6,74.0,193.0
201004I,Super Cyclone Giri,IO,IO042010,2010102200,0,18.5,92.6,90.0,956.0,18.5,92.6,0.0,29.8,73.0,4.4,75.0,148.0
201004I,Super Cyclone Giri,IO,IO042010,2010102203,-3,18.8,92.8,108.0,943.0,18.5,92.6,39.5,29.8,73.0,4.4,75.0,148.0
201004I,Super Cyclone Giri,IO,IO042010,2010102206,0,19.0,93.0,125.0,929.0,19.0,93.0,0.0,29.9,74.0,5.8,76.0,80.0
201004I,Super Cyclone Giri,IO,IO042010,2010102209,-3,19.4,93.2,130.0,926.0,19.0,93.0,49.2,29.9,74.0,5.8,76.0,80.0
201004I,Super Cyclone Giri,IO,IO042010,2010102212,0,19.8,93.3,135.0,922.0,19.8,93.3,0.0,29.9,76.0,9.3,79.0,0.0
201004I,Super Cyclone Giri,IO,IO042010,2010102215,-3,20.1,93.5,108.0,943.0,19.8,93.3,39.4,29.9,76.0,9.3,79.0,0.0
201004I,Super Cyclone Giri,IO,IO042010,2010102218,0,20.5,93.8,80.0,963.0,20.5,93.8,0.0,29.8,79.0,9.3,81.0,-90.0
