cyclone_id,cyclone_name,dataset_split,sequence_index,forecast_origin_timestamp_t,plotted_x_coordinate_hours,input_timestamp_t_minus_12h,input_timestamp_t_minus_9h,input_timestamp_t_minus_6h,input_timestamp_t_minus_3h,input_timestamp_t,actual_vmax_t,actual_vmax_t_plus_3h,actual_vmax_t_plus_6h,actual_vmax_t_plus_9h,actual_vmax_t_plus_12h,actual_vmax_t_plus_15h,actual_vmax_t_plus_18h,actual_vmax_t_plus_21h,actual_vmax_t_plus_24h,target_timestamp_plus_6h,target_timestamp_plus_12h,target_timestamp_plus_24h,transformer_pred_plus_6h,transformer_pred_plus_12h,transformer_pred_plus_24h,gru_pred_plus_6h,gru_pred_plus_12h,gru_pred_plus_24h,persistence_pred_plus_6h,persistence_pred_plus_12h,persistence_pred_plus_24h,plotted_target_timestamp_in_graph
201003I,Super Cyclone Phet,Held-Out TEST Set,0,2010053106,0.0,2010053018,2010053021,2010053100,2010053103,2010053106,30.0,30.0,30.0,33.0,35.0,40.0,45.0,50.0,55.0,2010053112,2010053118,2010060106,32.98,38.57,50.98,28.99,32.37,38.85,30.0,30.0,30.0,"{'+6h_subplot_target_timestamp': '2010053112', '+12h_subplot_target_timestamp': '2010053118', '+24h_subplot_target_timestamp': '2010060106', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,1,2010053109,3.0,2010053021,2010053100,2010053103,2010053106,2010053109,30.0,30.0,33.0,35.0,40.0,45.0,50.0,55.0,58.0,2010053115,2010053121,2010060109,35.61,41.18,53.32,31.71,35.66,43.1,30.0,30.0,30.0,"{'+6h_subplot_target_timestamp': '2010053115', '+12h_subplot_target_timestamp': '2010053121', '+24h_subplot_target_timestamp': '2010060109', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,2,2010053112,6.0,2010053100,2010053103,2010053106,2010053109,2010053112,30.0,33.0,35.0,40.0,45.0,50.0,55.0,58.0,60.0,2010053118,2010060100,2010060112,34.97,36.42,39.49,35.38,39.15,46.16,30.0,30.0,30.0,"{'+6h_subplot_target_timestamp': '2010053118', '+12h_subplot_target_timestamp': '2010060100', '+24h_subplot_target_timestamp': '2010060112', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,3,2010053115,9.0,2010053103,2010053106,2010053109,2010053112,2010053115,33.0,35.0,40.0,45.0,50.0,55.0,58.0,60.0,68.0,2010053121,2010060103,2010060115,33.02,34.51,37.76,36.61,41.33,50.02,33.0,33.0,33.0,"{'+6h_subplot_target_timestamp': '2010053121', '+12h_subplot_target_timestamp': '2010060103', '+24h_subplot_target_timestamp': '2010060115', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,4,2010053118,12.0,2010053106,2010053109,2010053112,2010053115,2010053118,35.0,40.0,45.0,50.0,55.0,58.0,60.0,68.0,75.0,2010060100,2010060106,2010060118,31.98,35.0,41.68,41.96,47.02,56.08,35.0,35.0,35.0,"{'+6h_subplot_target_timestamp': '2010060100', '+12h_subplot_target_timestamp': '2010060106', '+24h_subplot_target_timestamp': '2010060118', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,5,2010053121,15.0,2010053109,2010053112,2010053115,2010053118,2010053121,40.0,45.0,50.0,55.0,58.0,60.0,68.0,75.0,83.0,2010060103,2010060109,2010060121,33.37,37.67,46.99,43.75,49.42,59.52,40.0,40.0,40.0,"{'+6h_subplot_target_timestamp': '2010060103', '+12h_subplot_target_timestamp': '2010060109', '+24h_subplot_target_timestamp': '2010060121', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,6,2010060100,18.0,2010053112,2010053115,2010053118,2010053121,2010060100,45.0,50.0,55.0,58.0,60.0,68.0,75.0,83.0,90.0,2010060106,2010060112,2010060200,37.45,43.66,57.16,50.85,58.08,70.56,45.0,45.0,45.0,"{'+6h_subplot_target_timestamp': '2010060106', '+12h_subplot_target_timestamp': '2010060112', '+24h_subplot_target_timestamp': '2010060200', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,7,2010060103,21.0,2010053115,2010053118,2010053121,2010060100,2010060103,50.0,55.0,58.0,60.0,68.0,75.0,83.0,90.0,103.0,2010060109,2010060115,2010060203,51.18,59.45,76.44,60.57,69.08,83.21,50.0,50.0,50.0,"{'+6h_subplot_target_timestamp': '2010060109', '+12h_subplot_target_timestamp': '2010060115', '+24h_subplot_target_timestamp': '2010060203', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,8,2010060106,24.0,2010053118,2010053121,2010060100,2010060103,2010060106,55.0,58.0,60.0,68.0,75.0,83.0,90.0,103.0,115.0,2010060112,2010060118,2010060206,62.31,68.89,81.42,60.62,68.42,81.35,55.0,55.0,55.0,"{'+6h_subplot_target_timestamp': '2010060112', '+12h_subplot_target_timestamp': '2010060118', '+24h_subplot_target_timestamp': '2010060206', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
201003I,Super Cyclone Phet,Held-Out TEST Set,9,2010060109,27.0,2010053121,2010060100,2010060103,2010060106,2010060109,58.0,60.0,68.0,75.0,83.0,90.0,103.0,115.0,120.0,2010060115,2010060121,2010060209,71.51,74.89,79.8,64.08,71.79,84.3,58.0,58.0,58.0,"{'+6h_subplot_target_timestamp': '2010060115', '+12h_subplot_target_timestamp': '2010060121', '+24h_subplot_target_timestamp': '2010060209', 'x_axis_represents': 'forecast_origin_time_t_elapsed_hours'}"
