epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_median_ae,val_bias,lr,epoch_time_sec,peak_vram_mb
1,1999.6249,1302.1712,33.252,36.0856,-0.963,29.3833,-33.2464,1.000000e-04,16.58,914.8
2,974.0821,621.5198,21.6372,24.9303,0.063,18.5312,-21.4316,9.972883e-05,16.11,915.4
3,374.2388,197.9717,10.2214,14.0702,0.7016,7.1406,-6.4981,9.891831e-05,16.06,915.4
4,167.0618,156.8463,8.5655,12.5238,0.7636,5.5781,-4.1414,9.757730e-05,16.08,915.4
5,137.0152,161.6306,8.642,12.7134,0.7563,5.4375,-2.9194,9.572050e-05,16.29,915.4
6,128.909,132.0559,8.1277,11.4916,0.8009,5.625,-0.8963,9.336826e-05,16.12,915.4
7,116.915,140.5985,8.249,11.8574,0.788,5.5156,-1.0928,9.054634e-05,16.11,915.4
8,107.2868,156.8005,8.6089,12.522,0.7636,5.5625,-3.8196,8.728567e-05,16.06,915.4
9,102.8386,149.1259,8.4281,12.2117,0.7752,5.4844,-3.8882,8.362197e-05,16.07,915.4
10,94.8348,148.0455,8.4245,12.1674,0.7768,5.625,-3.2253,7.959537e-05,16.12,915.4
11,87.1713,155.1605,8.5648,12.4563,0.7661,5.6406,-2.9462,7.525000e-05,16.06,915.4
12,81.0323,156.6853,8.8252,12.5174,0.7638,6.0156,-0.9318,7.063346e-05,16.21,915.4
13,72.3215,136.8954,8.3669,11.7002,0.7936,5.9062,-0.816,6.579634e-05,16.08,915.4
14,67.1732,148.6611,8.4758,12.1927,0.7759,5.6562,-3.4012,6.079163e-05,16.16,915.4
