epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_median_ae,val_bias,lr,epoch_time_sec,peak_vram_mb
1,1198.8318,262.217,12.6237,16.1931,0.6492,10.1406,-10.9866,1.000000e-04,55.34,914.8
2,165.6058,132.2292,8.6557,11.4991,0.8231,6.5625,1.0181,9.972883e-05,54.29,915.1
3,143.5975,139.5953,8.6622,11.815,0.8133,6.375,-3.618,9.891831e-05,50.01,915.1
4,131.58,128.5491,8.4354,11.3379,0.828,6.3125,-0.5748,9.757730e-05,49.92,915.1
5,123.8347,120.443,8.17,10.9747,0.8389,6.125,-1.3278,9.572050e-05,49.66,915.1
6,114.8749,131.0676,8.6038,11.4485,0.8247,6.625,2.7229,9.336826e-05,51.49,915.1
7,107.6458,123.024,8.366,11.0916,0.8354,6.4375,1.6992,9.054634e-05,49.68,915.1
8,100.4853,119.6993,8.2187,10.9407,0.8399,6.2188,-0.8579,8.728567e-05,52.67,915.1
9,94.4599,118.7957,8.1363,10.8993,0.8411,6.125,-0.3067,8.362197e-05,49.69,915.1
10,89.086,126.1049,8.2418,11.2296,0.8313,6.0312,-2.1673,7.959537e-05,52.09,915.1
11,83.2006,126.1819,8.3974,11.2331,0.8312,6.3125,-1.1939,7.525000e-05,49.89,915.1
12,77.2886,123.4966,8.2292,11.1129,0.8348,6.0625,-0.2384,7.063346e-05,49.71,915.1
13,72.0764,125.6172,8.3279,11.2079,0.832,6.2812,-1.7323,6.579634e-05,54.87,915.1
14,67.0461,122.6713,8.2491,11.0757,0.8359,6.1562,0.8989,6.079163e-05,49.75,915.1
15,63.7921,124.6391,8.3562,11.1642,0.8333,6.2188,0.1101,5.567416e-05,54.33,915.1
16,58.5036,126.234,8.3321,11.2354,0.8311,6.2031,-2.4488,5.050000e-05,49.67,915.1
17,55.4651,127.7466,8.359,11.3025,0.8291,6.1875,-1.7389,4.532584e-05,53.13,915.1
