epoch,train_loss,val_loss,val_mean_mae,val_mae_6h,val_mae_12h,val_mae_24h,val_mean_r2,lr,epoch_time_sec,peak_vram_mb
1,13.090271000299369,10.156222268220542,10.644,9.504,9.883,12.544,0.7364,9.939057285945933e-05,163.45,1013.3
2,10.534163191657965,10.165114078393456,10.654,9.433,9.829,12.7,0.7327,9.757729755661012e-05,138.99,1013.3
3,10.063930451794864,9.759503187264139,10.247,8.902,9.376,12.463,0.76,9.460482294732422e-05,137.8,1013.3
4,9.609958297212001,10.322297919480025,10.811,9.589,9.952,12.892,0.7305,9.054634122155992e-05,136.91,1013.3
5,9.15049051968103,11.373525474819669,11.863,10.601,10.989,14.0,0.6751,8.550178566873411e-05,137.49,1013.3
6,8.809103297065757,9.946119780580144,10.434,9.318,9.641,12.342,0.7556,7.959536998847744e-05,129.84,1013.3
7,8.53280439661211,10.53527215137784,11.023,9.495,10.132,13.443,0.7217,7.297252973710758e-05,121.2,1013.3
8,8.240883718864701,10.211821874707452,10.699,9.591,9.991,12.514,0.7444,6.579634122155991e-05,121.04,1013.3
9,7.974351518347403,9.251408363358808,9.738,8.235,8.957,12.023,0.7771,5.824350601949144e-05,135.0,1013.3
10,7.673133336110858,9.117611583847555,9.603,8.334,8.92,11.556,0.7846,5.050000000000001e-05,127.91,1013.3
11,7.374299442102207,9.471606254686343,9.958,8.679,9.264,11.93,0.7708,4.275649398050859e-05,134.04,1013.3
12,7.099010978912617,9.652389362656539,10.14,8.678,9.501,12.24,0.7635,3.520365877844011e-05,130.12,1013.3
13,6.841345245825148,9.44212961963274,9.929,8.63,9.227,11.93,0.7675,2.8027470262892444e-05,127.84,1013.3
14,6.589681447929117,11.092321538930607,11.581,10.168,10.829,13.745,0.6935,2.1404630011522593e-05,120.94,1013.3
15,6.328353360339104,9.158932261791467,9.644,8.302,8.986,11.645,0.7738,1.5498214331265904e-05,121.19,1013.3
16,6.177420987446035,10.267279186637946,10.755,9.078,9.969,13.219,0.7283,1.0453658778440109e-05,127.58,1013.3
