epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_median_ae,val_bias,lr,epoch_time_sec,peak_vram_mb
24,4402.2078,1705.194,38.1338,41.294,-1.806,34.1384,-38.1338,1.371433e-05,2.46,915.1
25,4502.7838,1822.8364,39.3405,42.6947,-1.9995,35.0635,-39.3405,1.045366e-05,4.71,915.4
1,3721.0003,1974.7687,40.0078,44.4384,-2.2495,34.8379,-40.0078,1.000000e-04,5.51,914.8
26,4383.4714,1740.4681,38.5945,41.7189,-1.864,34.5931,-38.5945,7.631743e-06,4.54,915.1
2,3123.1288,1988.5541,40.1873,44.5932,-2.2722,35.498,-40.1873,9.972883e-05,4.73,915.1
27,4574.5353,1802.1497,39.0371,42.4517,-1.9655,34.6801,-39.0371,5.279500e-06,4.64,915.4
3,2863.6393,1945.2527,39.9034,44.105,-2.201,35.3684,-39.9034,9.891831e-05,4.79,915.4
28,4283.76,1780.552,38.8471,42.1966,-1.93,34.5996,-38.8471,3.422702e-06,4.6,915.1
4,2576.7881,1904.5638,39.7482,43.6413,-2.134,35.3619,-39.7482,9.757730e-05,4.69,915.1
29,4503.5196,1825.7289,39.3453,42.7285,-2.0043,35.0045,-39.3453,2.081694e-06,4.62,915.4
5,2543.0587,1577.0494,36.4457,39.7121,-1.5951,33.7285,-36.4457,9.572050e-05,4.78,915.4
30,4443.0625,1870.5841,39.8082,43.2503,-2.0781,35.3821,-39.8082,1.271166e-06,4.6,915.1
6,2414.9974,1735.0535,38.0271,41.654,-1.8551,34.1252,-38.0271,9.336826e-05,4.25,915.1
7,2047.9643,1491.3544,35.3272,38.6181,-1.4541,33.1001,-35.326,9.054634e-05,2.47,915.4
8,1737.826,1396.7565,34.1105,37.3732,-1.2984,32.3018,-34.1013,8.728567e-05,2.48,915.1
9,1663.4371,1214.6524,31.5705,34.8519,-0.9988,27.9062,-31.5697,8.362197e-05,2.46,915.4
10,1494.7812,1143.6375,30.7885,33.8177,-0.8819,27.3916,-30.7562,7.959537e-05,2.46,915.1
11,1461.4096,1347.9632,33.5438,36.7146,-1.2181,31.4316,-33.5208,7.525000e-05,2.45,915.4
12,1305.1069,1128.7684,30.5664,33.5971,-0.8574,27.0625,-30.5323,7.063346e-05,2.46,915.1
13,1253.8177,1026.69,28.9261,32.042,-0.6895,25.6504,-28.8599,6.579634e-05,2.46,915.4
14,1127.4699,1027.3822,28.9054,32.0528,-0.6906,25.25,-28.8389,6.079163e-05,2.46,915.1
15,917.8096,1003.5674,28.6591,31.6791,-0.6514,25.1465,-28.5739,5.567416e-05,2.46,915.4
16,907.9633,1025.9533,28.675,32.0305,-0.6882,25.5098,-28.6398,5.050000e-05,2.47,915.1
17,925.0786,874.2533,26.3839,29.5678,-0.4386,23.7773,-26.1933,4.532584e-05,2.47,915.4
18,711.5066,893.7491,26.6578,29.8956,-0.4707,23.1152,-26.5811,4.020837e-05,2.46,915.1
19,716.8233,788.4372,24.9567,28.0791,-0.2974,22.6758,-24.6921,3.520366e-05,2.46,915.4
20,640.6993,644.6863,22.1778,25.3907,-0.0609,20.6797,-21.5943,3.036654e-05,2.47,915.1
21,646.2432,720.7429,23.6382,26.8467,-0.186,21.7852,-23.3653,2.575000e-05,2.46,915.4
22,649.145,815.3851,25.2048,28.5549,-0.3417,22.0547,-25.0506,2.140463e-05,2.46,915.1
23,630.7889,724.6119,23.5501,26.9186,-0.1924,21.3125,-23.3616,1.737803e-05,2.46,915.4
24,571.4318,684.0744,22.7022,26.1548,-0.1257,20.6133,-22.4161,1.371433e-05,2.46,915.1
25,569.119,692.8427,23.0252,26.3219,-0.1401,20.9219,-22.7511,1.045366e-05,2.47,915.4
26,564.717,695.0953,23.0156,26.3647,-0.1438,21.0312,-22.7057,7.631743e-06,2.46,915.1
27,493.5717,650.3136,22.1329,25.5012,-0.0701,20.207,-21.8086,5.279500e-06,2.47,915.4
28,491.7087,687.6757,22.8645,26.2236,-0.1316,20.7617,-22.5976,3.422702e-06,2.5,915.1
29,524.986,669.8617,22.4965,25.8817,-0.1023,20.4141,-22.1774,2.081694e-06,2.47,915.4
30,525.3777,662.8057,22.3726,25.745,-0.0907,20.3203,-22.0479,1.271166e-06,2.46,915.1
