epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_median_ae,val_bias,lr,epoch_time_sec,peak_vram_mb
1,2058.3823,1806.1819,38.3832,42.4992,-1.9721,32.7637,-38.3832,1.000000e-04,2.85,914.8
2,1640.2491,2037.7338,40.6333,45.1413,-2.3532,35.424,-40.6333,9.972883e-05,2.47,915.1
3,1436.7133,1512.1492,35.518,38.8864,-1.4883,31.1348,-35.518,9.891831e-05,2.45,915.4
4,1287.208,1608.5676,36.3419,40.107,-1.647,32.4912,-36.3419,9.757730e-05,2.48,915.1
5,1155.8756,1355.3305,33.3371,36.8148,-1.2302,28.5605,-33.3371,9.572050e-05,2.47,915.4
6,1042.897,1186.7642,30.2953,34.4494,-0.9529,26.3027,-30.2854,9.336826e-05,2.47,915.1
7,929.9073,1112.5043,30.2768,33.3542,-0.8307,26.5273,-30.2768,9.054634e-05,2.47,915.4
8,837.0256,1019.1517,28.5714,31.9242,-0.677,25.0996,-28.5421,8.728567e-05,2.52,915.1
9,729.5031,896.0885,25.6212,29.9347,-0.4745,22.6406,-25.5637,8.362197e-05,2.51,915.4
10,651.8253,715.4625,23.1715,26.7481,-0.1773,20.6523,-22.9153,7.959537e-05,2.47,915.1
11,568.5074,797.1186,24.5258,28.2333,-0.3117,21.9219,-24.346,7.525000e-05,2.48,915.4
12,499.8288,601.9837,21.3211,24.5354,0.0094,19.8594,-20.9707,7.063346e-05,2.45,915.1
13,447.7392,648.8871,21.7765,25.4733,-0.0678,19.6055,-21.5411,6.579634e-05,2.53,915.4
14,399.1899,548.4021,19.6641,23.418,0.0976,17.1133,-19.2285,6.079163e-05,2.48,915.1
15,347.7325,584.4397,20.2112,24.1752,0.0383,17.4688,-19.8329,5.567416e-05,2.5,915.4
16,315.4083,429.4318,16.7441,20.7227,0.2934,13.9609,-15.9746,5.050000e-05,2.51,915.1
17,298.5816,598.9735,19.959,24.4739,0.0144,17.0312,-19.5917,4.532584e-05,2.55,915.4
18,256.7109,434.8713,17.0886,20.8536,0.2844,13.8086,-16.0658,4.020837e-05,2.47,915.1
19,227.4367,399.8124,15.9135,19.9953,0.3421,13.0703,-14.6958,3.520366e-05,2.48,915.4
20,212.0094,412.9056,16.1067,20.3201,0.3206,13.0781,-15.0733,3.036654e-05,2.49,915.1
21,193.6301,335.7485,14.4763,18.3234,0.4475,11.3281,-12.9556,2.575000e-05,2.48,915.4
22,181.7796,313.165,13.9041,17.6965,0.4847,10.8438,-11.8967,2.140463e-05,2.51,915.1
23,175.4724,385.1413,15.7385,19.625,0.3662,12.7188,-14.4245,1.737803e-05,2.48,915.4
24,169.3996,379.552,15.4348,19.4821,0.3754,12.7578,-14.2985,1.371433e-05,2.47,915.1
25,154.4545,340.7468,14.4593,18.4593,0.4393,11.2734,-12.812,1.045366e-05,2.48,915.4
26,159.3779,335.8836,14.3135,18.3271,0.4473,10.793,-12.5594,7.631743e-06,2.48,915.1
27,143.3844,329.4937,14.1546,18.152,0.4578,10.7734,-12.4038,5.279500e-06,2.51,915.4
28,142.5263,313.0203,13.6654,17.6924,0.4849,10.1953,-11.701,3.422702e-06,2.5,915.1
29,142.1327,313.1134,13.6756,17.695,0.4848,10.1562,-11.7451,2.081694e-06,2.54,915.4
30,145.2354,336.6667,14.2757,18.3485,0.446,10.9961,-12.7113,1.271166e-06,2.51,915.1
