epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_median_ae,val_bias,lr,epoch_time_sec,peak_vram_mb
1,1203.5666,307.4619,14.2207,17.5346,0.5887,12.0625,-12.921,1.000000e-04,56.37,914.8
2,167.7719,132.9085,8.7066,11.5286,0.8222,6.5625,1.0126,9.972883e-05,57.87,915.1
3,143.7416,140.0145,8.6666,11.8328,0.8127,6.3281,-3.672,9.891831e-05,61.98,915.1
4,131.4531,125.6421,8.3496,11.209,0.8319,6.2969,-0.8077,9.757730e-05,68.23,915.1
5,123.8235,120.2954,8.2453,10.9679,0.8391,6.3047,0.3558,9.572050e-05,70.37,915.1
6,113.8465,130.8048,8.548,11.437,0.825,6.5625,2.37,9.336826e-05,66.97,915.1
7,107.6085,125.3972,8.4391,11.1981,0.8323,6.4375,1.6934,9.054634e-05,70.09,915.1
8,99.8019,119.5774,8.2189,10.9351,0.84,6.2656,0.2288,8.728567e-05,73.82,915.1
9,94.4153,120.6216,8.197,10.9828,0.8386,6.1875,-0.2409,8.362197e-05,70.34,915.1
10,88.1114,121.4776,8.136,11.0217,0.8375,6.0312,-0.4179,7.959537e-05,69.09,915.1
11,82.3828,126.0692,8.3241,11.2281,0.8314,6.1875,-2.0897,7.525000e-05,68.78,915.1
12,76.4467,121.8167,8.2204,11.0371,0.837,6.1719,1.0046,7.063346e-05,69.29,915.1
13,70.9748,127.7306,8.4028,11.3018,0.8291,6.25,-1.5632,6.579634e-05,68.24,915.1
14,66.1215,121.761,8.2013,11.0345,0.8371,6.0938,0.2443,6.079163e-05,69.93,915.1
15,62.3367,122.4734,8.2307,11.0668,0.8362,6.1562,-0.1949,5.567416e-05,68.73,915.1
16,57.9409,124.5758,8.211,11.1614,0.8334,6.0312,-1.7914,5.050000e-05,70.8,915.1
17,54.8816,124.325,8.2506,11.1501,0.8337,6.1719,-1.5455,4.532584e-05,73.72,915.1
18,50.9814,122.8978,8.2744,11.0859,0.8356,6.2656,0.0408,4.020837e-05,80.45,915.1
