epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_median_ae,val_bias,lr,epoch_time_sec,peak_vram_mb
1,1149.8642,188.3419,10.1354,13.7238,0.7481,7.625,-3.0372,1.000000e-04,76.08,935.6
2,186.4258,142.1242,8.714,11.9216,0.8099,6.3125,-0.7805,9.972883e-05,75.57,935.6
3,158.3306,142.3098,8.5751,11.9294,0.8096,6.0312,-2.1564,9.891831e-05,75.07,935.6
4,142.4455,137.4987,8.6371,11.726,0.8161,6.375,-0.8532,9.757730e-05,76.23,935.6
5,131.6049,138.0393,8.5784,11.749,0.8153,6.1875,-2.2735,9.572050e-05,75.86,935.6
6,118.6893,132.4724,8.4682,11.5097,0.8228,6.25,0.0315,9.336826e-05,75.17,935.6
7,109.6936,132.9046,8.4315,11.5284,0.8222,6.1562,-1.0543,9.054634e-05,75.53,935.6
8,99.9483,127.878,8.4778,11.3083,0.8289,6.4375,0.8928,8.728567e-05,75.52,935.6
9,92.9539,126.1835,8.3151,11.2331,0.8312,6.25,-1.1002,8.362197e-05,75.47,935.6
10,85.2154,135.0541,8.515,11.6213,0.8193,6.2188,-1.3069,7.959537e-05,75.2,935.6
11,77.187,133.3516,8.4125,11.5478,0.8216,6.1562,-2.2292,7.525000e-05,75.53,935.6
12,70.7373,126.4648,8.2916,11.2457,0.8308,6.125,-0.0658,7.063346e-05,75.82,935.6
13,64.2969,131.3,8.4195,11.4586,0.8244,6.2188,-0.8429,6.579634e-05,73.46,935.6
14,59.0158,124.8915,8.2069,11.1755,0.8329,6.0625,-1.4563,6.079163e-05,72.12,935.6
15,54.3502,135.8943,8.5905,11.6574,0.8182,6.3438,0.662,5.567416e-05,71.53,935.6
16,49.3887,132.6374,8.4481,11.5168,0.8226,6.2188,-1.9131,5.050000e-05,72.41,935.6
17,45.603,129.8867,8.3942,11.3968,0.8262,6.1875,-1.1927,4.532584e-05,73.28,935.6
18,41.7246,130.3926,8.4864,11.419,0.8256,6.3906,-0.3408,4.020837e-05,72.45,935.6
19,38.1681,125.8381,8.2756,11.2178,0.8317,6.125,-0.8453,3.520366e-05,72.83,935.6
20,35.2746,129.107,8.417,11.3625,0.8273,6.2812,-0.0052,3.036654e-05,72.3,935.6
21,33.1862,132.0278,8.4408,11.4903,0.8234,6.2344,-1.1149,2.575000e-05,74.22,935.6
22,30.7723,132.8881,8.4717,11.5277,0.8222,6.25,-1.4347,2.140463e-05,72.14,935.6
