epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_median_ae,val_bias,lr,epoch_time_sec,peak_vram_mb
1,1192.7136,225.3211,11.8293,15.0107,0.6986,9.6562,-9.2335,1.000000e-04,75.76,933.8
2,169.0254,132.6701,8.6287,11.5183,0.8225,6.5,1.3408,9.972883e-05,78.13,933.8
3,145.5455,135.8563,8.5495,11.6557,0.8183,6.1562,-3.025,9.891831e-05,77.72,933.8
4,134.0171,128.1343,8.3893,11.3196,0.8286,6.2031,-0.9872,9.757730e-05,77.9,933.8
5,125.2609,126.4722,8.2758,11.246,0.8308,6.125,-1.9373,9.572050e-05,77.98,933.8
6,115.1572,126.2564,8.3222,11.2364,0.8311,6.25,1.2368,9.336826e-05,77.43,933.8
7,109.4719,121.8696,8.2237,11.0395,0.837,6.1875,0.7183,9.054634e-05,77.83,933.8
8,101.5194,119.258,8.0711,10.9205,0.8405,5.875,-1.4678,8.728567e-05,78.07,933.8
9,95.3255,123.2385,8.1819,11.1013,0.8351,6.0625,-1.6596,8.362197e-05,77.92,933.8
10,88.2048,122.1716,8.14,11.0531,0.8366,5.9766,0.2609,7.959537e-05,77.81,933.8
11,82.9648,123.4472,8.1185,11.1107,0.8349,5.9141,-1.7418,7.525000e-05,78.1,933.8
12,76.755,124.6992,8.198,11.1669,0.8332,5.9844,-0.0761,7.063346e-05,78.09,933.8
13,72.0047,120.8552,8.061,10.9934,0.8383,5.9375,-0.8431,6.579634e-05,73.41,933.8
14,66.4617,121.2237,8.1176,11.0102,0.8378,6.0547,-0.222,6.079163e-05,73.28,933.8
15,62.3992,122.4135,8.1746,11.0641,0.8362,6.0938,-0.199,5.567416e-05,73.57,933.8
16,58.1596,123.0989,8.1392,11.095,0.8353,5.9688,-1.9935,5.050000e-05,73.46,933.8
17,54.2761,122.4617,8.1272,11.0662,0.8362,5.9375,-0.73,4.532584e-05,73.66,933.8
18,50.8701,125.5763,8.2709,11.2061,0.832,6.1094,-0.6672,4.020837e-05,78.66,933.8
19,47.0801,119.2101,8.0458,10.9183,0.8405,5.9375,-0.6347,3.520366e-05,77.75,933.8
20,44.2155,122.0911,8.1478,11.0495,0.8367,5.9844,-1.317,3.036654e-05,78.02,933.8
21,41.8941,121.2473,8.1384,11.0112,0.8378,6.0,-0.5625,2.575000e-05,77.72,933.8
22,39.1486,120.6278,8.1062,10.9831,0.8386,6.0,-0.6798,2.140463e-05,76.71,933.8
23,37.0398,121.0252,8.1385,11.0011,0.8381,6.0625,-0.5025,1.737803e-05,77.27,933.8
24,35.7581,120.5984,8.1254,10.9817,0.8387,6.0547,-0.8109,1.371433e-05,77.0,933.8
25,34.4132,120.8427,8.1127,10.9928,0.8383,5.9844,-0.6147,1.045366e-05,77.71,933.8
26,33.0412,121.7062,8.1409,11.0321,0.8372,6.0156,-0.912,7.631743e-06,76.83,933.8
27,32.3949,122.7233,8.1391,11.0781,0.8358,5.9844,-1.4987,5.279500e-06,77.52,933.8
