epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_median_ae,val_bias,lr,epoch_time_sec,peak_vram_mb
1,1257.68,266.3677,12.5425,16.3208,0.6437,9.8438,-10.0223,1.000000e-04,81.61,954.7
2,187.2497,137.057,8.6407,11.7071,0.8167,6.2812,-0.7258,9.972883e-05,77.43,954.7
3,154.1777,147.4083,8.6929,12.1412,0.8028,6.125,-3.3534,9.891831e-05,78.95,954.7
4,140.2145,130.1787,8.3853,11.4096,0.8259,6.125,-1.4147,9.757730e-05,84.19,954.7
5,128.8146,129.457,8.4033,11.3779,0.8268,6.1562,-1.0787,9.572050e-05,80.76,954.7
6,116.8015,127.7205,8.3919,11.3013,0.8291,6.1875,0.1805,9.336826e-05,82.18,954.7
7,108.2813,130.0036,8.3557,11.4019,0.8261,6.125,-1.6238,9.054634e-05,84.5,954.7
8,99.9984,124.1219,8.2641,11.141,0.834,6.2031,-1.3582,8.728567e-05,81.69,954.7
9,93.0936,121.1952,8.1676,11.0089,0.8379,6.1094,-0.2822,8.362197e-05,84.39,954.7
10,85.3288,129.6614,8.2814,11.3869,0.8266,5.9922,-2.4046,7.959537e-05,79.71,954.7
11,77.8678,142.7739,8.6103,11.9488,0.809,6.1094,-3.9084,7.525000e-05,80.19,954.7
12,71.6677,123.6934,8.132,11.1218,0.8345,5.875,-0.393,7.063346e-05,90.63,954.7
13,65.4441,128.738,8.3247,11.3463,0.8278,6.0938,-0.9402,6.579634e-05,78.68,954.7
14,60.4063,126.4697,8.2145,11.2459,0.8308,5.9844,-1.5123,6.079163e-05,78.56,954.7
15,55.7447,126.7142,8.3349,11.2567,0.8305,6.2266,-0.0831,5.567416e-05,82.6,954.7
16,50.9722,130.7706,8.3987,11.4355,0.8251,6.1875,-1.5972,5.050000e-05,80.03,954.7
17,47.4183,128.5073,8.3681,11.3361,0.8281,6.1875,-1.6382,4.532584e-05,81.36,954.7
18,43.4196,127.4948,8.348,11.2914,0.8294,6.25,-0.2377,4.020837e-05,78.78,954.7
19,39.9223,127.1484,8.2479,11.276,0.8299,6.0625,-1.9891,3.520366e-05,87.41,954.7
20,37.4053,126.2626,8.2514,11.2367,0.8311,6.0469,-0.9641,3.036654e-05,88.53,954.7
