epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_median_ae,val_bias,lr,epoch_time_sec,peak_vram_mb
1,1148.3205,219.0956,11.5239,14.8019,0.7069,9.2812,-8.6316,1.000000e-04,75.35,934.6
2,158.7489,128.7417,8.6269,11.3464,0.8278,6.6875,1.818,9.972883e-05,64.43,935.2
3,138.4032,129.4155,8.4402,11.3761,0.8269,6.2812,-2.7736,9.891831e-05,67.24,933.0
4,125.6906,119.466,8.172,10.9301,0.8402,6.1562,-0.3531,9.757730e-05,67.11,933.0
5,116.2997,126.3134,8.3184,11.2389,0.831,6.25,-1.4067,9.572050e-05,72.54,933.0
6,106.6834,131.7989,8.7401,11.4804,0.8237,6.875,3.132,9.336826e-05,76.09,933.0
7,99.2918,121.4336,8.2295,11.0197,0.8376,6.2031,-0.0376,9.054634e-05,77.04,933.0
8,91.2424,116.6942,8.0717,10.8025,0.8439,6.0625,0.0061,8.728567e-05,73.44,933.0
9,84.9366,117.1435,8.0491,10.8233,0.8433,6.0312,-1.4756,8.362197e-05,78.37,933.0
10,78.7819,126.9539,8.3393,11.2674,0.8302,6.2031,-2.3933,7.959537e-05,73.54,933.0
11,72.4929,122.3093,8.2182,11.0594,0.8364,6.125,-2.6455,7.525000e-05,76.94,933.0
12,66.1039,122.1103,8.2124,11.0504,0.8367,6.125,0.9258,7.063346e-05,76.38,933.0
13,60.6742,123.2764,8.2631,11.103,0.8351,6.1562,0.3948,6.579634e-05,74.24,933.0
14,56.6301,120.4783,8.1079,10.9763,0.8388,6.0625,-0.9952,6.079163e-05,75.58,933.0
15,53.1266,122.1658,8.196,11.0529,0.8366,6.1562,-1.6089,5.567416e-05,75.24,933.0
16,48.7306,124.8093,8.2428,11.1718,0.833,6.0625,-2.2117,5.050000e-05,74.29,933.0
17,44.4563,121.4562,8.1466,11.0207,0.8375,6.0312,-0.982,4.532584e-05,74.96,933.0
