epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_median_ae,val_bias,lr,epoch_time_sec,peak_vram_mb
1,1132.9117,175.0191,10.2327,13.2295,0.7659,8.2812,-6.0971,1.000000e-04,71.45,954.9
2,158.0319,127.4456,8.3496,11.2892,0.8295,6.1875,-1.9497,9.972883e-05,76.01,954.9
3,135.0193,139.2441,8.6,11.8002,0.8137,6.1875,-3.2843,9.891831e-05,68.76,954.9
4,121.5115,120.7245,8.2199,10.9875,0.8385,6.25,-0.3893,9.757730e-05,76.21,954.9
5,112.129,123.6926,8.229,11.1217,0.8345,6.0938,-2.0874,9.572050e-05,75.91,954.9
6,103.0395,134.7643,8.749,11.6088,0.8197,6.7031,3.0799,9.336826e-05,77.86,954.9
7,94.0763,120.7448,8.2318,10.9884,0.8385,6.2031,-0.0881,9.054634e-05,72.42,954.9
8,85.6889,116.1158,8.0239,10.7757,0.8447,6.0312,-1.2484,8.728567e-05,73.38,954.9
9,79.1298,124.714,8.2834,11.1675,0.8332,6.2188,-2.4989,8.362197e-05,72.77,954.9
10,72.4342,119.3223,8.0646,10.9235,0.8404,5.9375,-1.6398,7.959537e-05,71.78,954.9
11,66.1414,124.8681,8.2658,11.1744,0.833,6.2188,-2.6723,7.525000e-05,72.71,954.9
12,60.543,121.1697,8.1184,11.0077,0.8379,6.0,-0.4442,7.063346e-05,73.98,954.9
13,54.4749,126.0039,8.341,11.2251,0.8314,6.25,-0.6194,6.579634e-05,72.59,954.9
14,50.2331,117.5409,8.0157,10.8416,0.8428,5.9688,-0.8178,6.079163e-05,66.7,954.9
15,46.7352,117.8157,8.092,10.8543,0.8424,6.0469,-0.8673,5.567416e-05,74.09,954.9
16,42.0212,122.2302,8.1327,11.0558,0.8365,5.9531,-2.2257,5.050000e-05,70.13,954.9
17,38.1109,124.0305,8.2115,11.1369,0.8341,6.0,-1.6333,4.532584e-05,67.62,954.9
18,34.8068,118.7222,8.1919,10.896,0.8412,6.25,0.7375,4.020837e-05,66.66,954.9
19,32.5573,117.9924,8.0059,10.8624,0.8422,5.9062,-1.3704,3.520366e-05,84.36,954.9
20,29.9832,119.0465,8.0816,10.9108,0.8407,6.0234,-1.1443,3.036654e-05,75.07,954.9
21,27.8284,117.7183,8.0552,10.8498,0.8425,6.0078,-1.0705,2.575000e-05,74.6,954.9
22,25.914,118.1384,8.0394,10.8691,0.842,5.9062,-1.0521,2.140463e-05,71.15,954.9
23,24.3349,118.7204,8.0337,10.8959,0.8412,5.9375,-1.188,1.737803e-05,76.86,954.9
24,23.179,118.2214,8.0454,10.873,0.8419,5.9375,-1.3716,1.371433e-05,77.83,954.9
25,21.782,118.5632,8.0536,10.8887,0.8414,5.9375,-1.3013,1.045366e-05,75.19,954.9
26,20.8689,116.4068,8.0033,10.7892,0.8443,5.9375,-0.7536,7.631743e-06,82.78,954.9
27,20.3491,117.3983,8.0018,10.835,0.843,5.875,-1.3204,5.279500e-06,75.76,954.9
28,19.6168,117.8209,8.0506,10.8545,0.8424,5.9688,-1.0612,3.422702e-06,74.95,954.9
29,19.6167,116.6531,8.0115,10.8006,0.844,5.9531,-0.7821,2.081694e-06,73.94,954.9
30,19.5289,117.9276,8.0253,10.8594,0.8422,5.9062,-1.3337,1.271166e-06,72.95,954.9
