epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_median_ae,val_bias,lr,epoch_time_sec,peak_vram_mb
1,1147.1841,169.8136,10.0415,13.0313,0.7728,7.8594,-5.5022,1.000000e-04,84.26,954.1
2,158.3618,124.9311,8.431,11.1773,0.8329,6.4531,0.7188,9.972883e-05,70.38,954.9
3,136.1029,144.4342,8.7918,12.0181,0.8068,6.375,-4.178,9.891831e-05,69.16,952.8
4,124.9096,119.5744,8.1648,10.935,0.84,6.1562,0.3178,9.757730e-05,78.41,952.8
5,117.0309,124.1579,8.2906,11.1426,0.8339,6.1875,-0.2915,9.572050e-05,75.75,952.8
6,107.2822,124.5168,8.4025,11.1587,0.8334,6.4375,2.2683,9.336826e-05,75.49,952.8
7,98.8864,124.4588,8.2491,11.1561,0.8335,6.0625,-0.278,9.054634e-05,76.59,952.8
8,92.2075,120.8007,8.227,10.9909,0.8384,6.25,1.5994,8.728567e-05,75.69,952.8
9,85.2171,115.9035,7.9521,10.7658,0.845,5.875,-1.0644,8.362197e-05,74.12,952.8
10,78.6921,119.1823,8.0626,10.9171,0.8406,5.9375,-0.8571,7.959537e-05,75.0,952.8
11,73.1223,118.3379,8.0502,10.8783,0.8417,6.0,-1.4788,7.525000e-05,76.58,952.8
12,67.4618,124.1631,8.2265,11.1428,0.8339,6.0625,-0.761,7.063346e-05,74.11,952.8
13,61.1729,120.3274,8.1691,10.9694,0.839,6.0938,-0.49,6.579634e-05,73.26,952.8
14,57.3892,118.0391,7.9971,10.8646,0.8421,5.8125,-1.0666,6.079163e-05,75.64,952.8
15,53.7395,118.8498,8.0732,10.9018,0.841,5.9688,-0.5731,5.567416e-05,75.07,952.8
16,48.9323,126.5197,8.2472,11.2481,0.8308,6.0625,-2.3442,5.050000e-05,73.25,952.8
17,45.3839,120.9174,8.1091,10.9962,0.8382,6.0,-1.3929,4.532584e-05,73.16,952.8
