epoch,train_loss,val_loss,val_mae,val_rmse,val_r2,val_median_ae,val_bias,lr,epoch_time_sec,peak_vram_mb
1,1108.9712,229.7085,12.0499,15.1561,0.6927,10.5,-8.8968,1.000000e-04,76.04,970.1
2,164.7579,135.0391,8.672,11.6206,0.8194,6.5938,-2.4321,9.972883e-05,77.56,970.1
3,140.0197,133.1316,8.406,11.5383,0.8219,6.1562,-2.275,9.891831e-05,74.98,970.1
4,127.0888,120.2532,8.1749,10.966,0.8391,6.125,-0.1064,9.757730e-05,79.4,970.1
5,116.8729,124.5318,8.3192,11.1594,0.8334,6.3438,-0.1073,9.572050e-05,72.16,970.1
6,107.0286,120.0828,8.1991,10.9582,0.8394,6.2188,0.7399,9.336826e-05,77.39,970.1
7,97.9655,124.4421,8.3901,11.1554,0.8335,6.4062,1.5029,9.054634e-05,68.47,970.1
8,90.798,118.1259,8.1522,10.8686,0.842,6.25,-0.2545,8.728567e-05,72.07,970.1
9,83.4538,115.1103,7.9416,10.7289,0.846,5.9219,-0.6975,8.362197e-05,74.21,970.1
10,77.0672,118.5125,8.0301,10.8863,0.8415,5.9688,-2.0014,7.959537e-05,74.21,970.1
11,69.3637,125.7586,8.2419,11.2142,0.8318,6.1406,-2.2981,7.525000e-05,77.41,970.1
12,64.9636,123.6353,8.2351,11.1191,0.8346,6.125,0.684,7.063346e-05,78.12,970.1
13,59.2143,120.6371,8.169,10.9835,0.8386,6.125,-0.5654,6.579634e-05,77.85,970.1
14,53.7066,116.9547,7.9968,10.8146,0.8435,5.9531,-0.7082,6.079163e-05,70.18,970.1
15,49.2748,122.446,8.1732,11.0655,0.8362,6.0938,-1.5656,5.567416e-05,68.78,970.1
16,45.4127,127.8409,8.3455,11.3067,0.829,6.125,-2.456,5.050000e-05,68.75,970.1
17,41.6131,123.5724,8.235,11.1163,0.8347,6.1562,-0.8967,4.532584e-05,75.46,970.1
