config_name,experiment,alpha,gamma,horizon_mode,overall_mean_mae,overall_rmse,mae_6h,mae_12h,mae_24h,rmse_24h,r2_24h,bias_24h,overall_bias,median_ae,false_dips,ri_mae_24h,ri_rmse_24h,ri_bias_24h,non_ri_mae_24h,non_ri_rmse_24h,extreme_mae_24h,delta_overall_mae,delta_24h_mae,delta_ri_24h_mae,delta_non_ri_24h_mae,storms_improved,storms_worsened,bootstrap_overall_median,bootstrap_overall_ci_lower,bootstrap_overall_ci_upper,bootstrap_win_rate_pct,bootstrap_ri_median,bootstrap_ri_ci_lower,bootstrap_ri_ci_upper,bootstrap_non_ri_median,bootstrap_non_ri_ci_lower,bootstrap_non_ri_ci_upper,p_val_paired_t,ri_underpred_fraction,pos10_underpred_fraction,pos10_mean_signed_err,ri_mean_signed_err
Exp1_alpha_0.00,Exp1_AllHorizons,0.0,1.0,all_horizons,6.433967033719681,9.239206535628439,3.30989152346821,5.891468766290429,10.100540811400403,14.368464542939094,0.7739929545970267,6.152647502740783e-14,3.301385768472928e-14,3.9954685575276585,0,23.505395914727327,27.17106131734611,-23.418837268619995,9.304347704043343,13.223661632819049,15.743189394659646,0.0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9853300733496333,0.885664538595473,-13.588969970872611,-23.418837268619995
Exp1_alpha_0.05,Exp1_AllHorizons,0.05,1.0,all_horizons,6.434287417554937,9.241385384265241,3.3127447770856153,5.894056175156683,10.096061300422512,14.37069748741835,0.7739227034722157,0.06562304441869427,0.04283759261235114,3.9954685575276585,0,23.092346694761147,26.90523341654065,-22.966777780925266,9.32413554871114,13.258469992285137,15.742708591290043,0.00032038383525545555,-0.00447951097789101,-0.4130492199661795,0.019787844667797927,65,93,0.00030745556029465604,-0.0018532117555730254,0.0026999921080955057,38.5,-0.4121780606337886,-0.4564314143961615,-0.3721768461695209,0.019656554522638814,0.016523618704721653,0.022989157325957965,0.7864720828693613,0.980440097799511,0.8792803250145096,-13.383143865809105,-22.966777780925266
Exp1_alpha_0.10,Exp1_AllHorizons,0.1,1.0,all_horizons,6.43566436081976,9.245302333171077,3.3161967788870768,5.898227030137151,10.092569273435052,14.375559649370445,0.7737696962315567,0.1312460888373271,0.08567518522466926,3.992838587820568,0,22.690914969149212,26.650644467397733,-22.514718293230526,9.344279498595217,13.29454565599197,15.742339996949317,0.0016973271000786383,-0.007971537965351772,-0.814480945578115,0.03993179455187423,67,95,0.0016750419686837326,-0.002740630531073052,0.0065441940749351385,24.0,-0.8138601760848037,-0.9013024359923749,-0.7360255246364308,0.03966360832222815,0.033457825554683795,0.04631734119352413,0.46772963674747636,0.9755501222493888,0.8769587928032502,-13.177317760745598,-22.514718293230526
Exp1_alpha_0.15,Exp1_AllHorizons,0.15,1.0,all_horizons,6.438174344713418,9.25095516218858,3.320588760588159,5.90355784732061,10.090376426231485,14.383048362766775,0.7735339328631793,0.1968691377359665,0.12851278078377062,3.991031802358961,0,22.30170951136865,26.40761951154389,-22.062658774682482,9.36507360429987,13.331878338365257,15.742856274621097,0.004207310993736613,-0.0101643851689186,-1.2036864033586774,0.0607259002565268,67,97,0.0041562554574730015,-0.0024811714473901955,0.011493082860888258,10.4,-1.2041803871423298,-1.3343123726171746,-1.0835043904157935,0.06034674914596483,0.05100577993933038,0.0699899932960017,0.2251459103622303,0.9682151589242054,0.8717353453279164,-12.971491641517517,-22.062658774682482
Exp1_alpha_0.20,Exp1_AllHorizons,0.2,1.0,all_horizons,6.441832561253334,9.258340676407244,3.3256163889865804,5.909653412466448,10.090227882306973,14.393159526719735,0.7732154134026946,0.2624921776745929,0.17135037044930557,3.992809543749928,0,21.94279118406795,26.17648068229352,-21.610599317841057,9.38623450583003,13.370457503122239,15.744581469093317,0.007865527533652994,-0.010312929093430512,-1.5626047306593769,0.08188680178668761,66,99,0.007894660942187048,-0.0008907405751982234,0.01720209461610053,3.3000000000000003,-1.562405313513004,-1.7301313555933406,-1.4119366284077768,0.08138784294442214,0.06940671559488006,0.0943906582383446,0.08593034623845273,0.9486552567237164,0.8636099825885084,-12.765665550618586,-21.610599317841057
Exp1_alpha_0.30,Exp1_AllHorizons,0.3,1.0,all_horizons,6.4539216543443745,9.278292175977208,3.337227530351986,5.927187608279173,10.097349824401967,14.42122571627012,0.7723301060546905,0.39373827547187146,0.25702556156750817,4.002296000841703,0,21.330737077952275,25.75112507979723,-20.70648028074497,9.430132951514649,13.451312056676267,15.749277984621562,0.01995462062469322,-0.0031909869984367845,-2.174658836775052,0.12578524747130615,64,102,0.019988657355888062,0.007253937667587395,0.03346909887988365,0.0,-2.174638908963484,-2.4042565395075224,-1.9437714900397427,0.12504603465751973,0.10710913024351884,0.14475845971027204,0.0031414925079119066,0.9266503667481663,0.8502611723737666,-12.354013312162422,-20.70648028074497
Exp1_alpha_0.40,Exp1_AllHorizons,0.4,1.0,all_horizons,6.471613801367853,9.305112210699857,3.350573557762419,5.950187233341143,10.114080612999995,14.459697267711057,0.7711137743547947,0.5249843553491242,0.34270074089857805,4.004624848502786,0,20.84584871544786,25.377032146702323,-19.80236136706212,9.476657848855183,13.537020735768227,15.759710350660823,0.03764676764817132,0.013539801599591783,-2.6595471992794657,0.17231014481184026,62,104,0.037775486106762735,0.021353496319892695,0.05545796318911367,0.0,-2.653442760682845,-2.953162685543287,-2.3516155735064914,0.17138426754670277,0.14741558632812538,0.19803395708445906,2.1658011525507638e-05,0.8875305623471883,0.8351712130005804,-11.942361130364558,-19.80236136706212
Exp1_alpha_0.50,Exp1_AllHorizons,0.5,1.0,all_horizons,6.494547994339105,9.33874143014278,3.3659451768143454,5.976740185153206,10.140958621049764,14.508491406155875,0.7695664183268982,0.6562304325916902,0.42837591858090907,4.012187207212378,0,20.493181944920913,25.056497978501266,-18.89824247153803,9.526079251392007,13.62749195799266,15.774368799157662,0.06058096061942386,0.04041780964936059,-3.012213969806414,0.2217315473486643,60,106,0.06067356480883701,0.04015248664375688,0.08198656183944551,0.0,-3.001720278034842,-3.368354783612988,-2.6092122021313533,0.22059383671932853,0.19051888916423576,0.25317766181510437,3.6953942813738394e-08,0.8655256723716381,0.8177597214161346,-11.530708956388642,-18.89824247153803
Exp1_alpha_0.75,Exp1_AllHorizons,0.75,1.0,all_horizons,6.5697755113314384,9.452090230404616,3.4105101153168693,6.0589994417135715,10.239816976963874,14.67490877931452,0.764249796013109,0.9843456472757751,0.6425638768548484,4.059081008043474,0,19.999971551569878,24.502415088264733,-16.637945089430403,9.660104049137292,13.873882693537233,15.823577978275503,0.13580847761175718,0.1392761655634711,-3.5054243631574487,0.3557563450939494,56,110,0.13529878713090104,0.10465800069012623,0.16770241428561114,0.0,-3.476463524731379,-4.050640856317702,-2.871245615702173,0.3539910948870224,0.3094219567059281,0.4027499653245753,1.5531764927059703e-16,0.7921760391198044,0.7887405687753918,-10.501578456230293,-16.637945089430403
Exp1_alpha_1.00,Exp1_AllHorizons,1.0,1.0,all_horizons,6.667686021841253,9.606008946079394,3.4629658050808376,6.1609515300105135,10.379140730432407,14.903002134275914,0.7568642707798117,1.3124608651833192,0.8567518371617852,4.112313065478141,0,20.094579378328927,24.31902403822998,-14.377647674456068,9.802083744230014,14.147920610704855,15.882461901135958,0.23371898812157177,0.2785999190320041,-3.4108165363984,0.4977360401866715,54,114,0.23326654194948482,0.1901240786198633,0.27594227616952444,0.0,-3.368978894316106,-4.095856274854998,-2.569730911480186,0.4950347623219926,0.43764035504610654,0.5595034496586394,2.842185450199019e-26,0.7237163814180929,0.7614625652930934,-9.472447941904672,-14.377647674456068
