config_name,family,horizon_mode,scale,overall_mean_mae,mae_6h,mae_12h,mae_24h,ri_mae_24h,ri_bias_24h,ri_underpred_fraction,non_ri_mae_24h,non_ri_bias_24h,extreme95_mae_24h,false_dips,delta_overall_mae,delta_ri_24h_mae,delta_non_ri_24h_mae,storms_improved,storms_worsened,bootstrap_overall_ci_lower,bootstrap_overall_ci_upper,bootstrap_win_rate,p_val_paired_t,ri_signed_err,pos10_signed_err
0. Canonical Baseline (No Correction),Baseline,none,0.0,6.433967035130546,3.309891523145922,5.891468765612567,10.100540816633147,23.505395936135265,-23.418837284036254,0.9853300733496333,9.304347708315348,1.3909823519783209,15.743189408841902,0,0.0,0.0,0.0,0,0,0.0,0.0,50.0,,-23.418837284036254,-13.58896997249488
Ridge_24h_alpha_10,Ridge,24h_only,0.0,6.344732930013305,3.309891523145922,5.891468765612567,9.83283850128143,21.98609464905227,-21.095233313866817,0.9070904645476773,9.110985209902069,0.9066320430595965,15.027821192332384,0,-0.0892341051172405,-1.519301287082996,-0.19336249841327913,103,78,-0.11404050981340737,-0.0658348736048982,100.0,8.648725860615605e-12,-21.095233313866817,-12.976851149565404
Ridge_24h_alpha_50,Ridge,24h_only,0.0,6.343305540294177,3.309891523145922,5.891468765612567,9.828556332124045,22.008650857436045,-21.132937457822354,0.9070904645476773,9.105108951808534,0.9055584784969735,15.02475226223005,0,-0.0906614948363682,-1.4967450786992202,-0.19923875650681389,105,76,-0.1156873308977453,-0.06715066318129653,100.0,1.954292714177494e-12,-21.132937457822354,-13.00344783797843
Ridge_24h_alpha_100,Ridge,24h_only,0.0,6.342679312975304,3.309891523145922,5.891468765612567,9.826677650167426,22.00723262765151,-21.135385365569213,0.9070904645476773,9.10320292089194,0.9067923228599497,15.017843833641454,0,-0.09128772215524172,-1.498163308483754,-0.20114478742340758,105,76,-0.11650677668801553,-0.06778274548908833,100.0,8.982460116834516e-13,-21.135385365569213,-13.008870654169186
Ridge_24h_alpha_500,Ridge,24h_only,0.0,6.339434893636235,3.309891523145922,5.891468765612567,9.816944392150216,21.944107426699333,-21.064477741281095,0.9070904645476773,9.096640924080134,0.9176028705665236,14.985224774887948,0,-0.09453214149431055,-1.5612885094359328,-0.2077067842352136,104,77,-0.1187101901200575,-0.0716338848535772,100.0,1.2944685126698166e-14,-21.064477741281095,-12.977620465690686
Ridge_24h_alpha_1000,Ridge,24h_only,0.0,6.33750898471758,3.309891523145922,5.891468765612567,9.81116666539425,21.87366133640477,-20.978713151768833,0.9046454767726161,9.09470423140597,0.9288970570518289,14.976687073205207,0,-0.09645805041296551,-1.6317345997304962,-0.20964347690937757,106,75,-0.11970864722788259,-0.07394321082282378,100.0,3.497785505390037e-16,-20.978713151768833,-12.92803611030161
Ridge_24h_alpha_5000,Ridge,24h_only,0.0,6.337638633568993,3.309891523145922,5.891468765612567,9.811555611948492,21.495859898772537,-20.574360746862983,0.9046454767726161,9.117556127006432,0.9867757301371145,15.065158753729275,0,-0.09632840156155265,-2.0095360373627287,-0.18679158130891516,112,69,-0.11545803264358408,-0.0767407304984291,100.0,2.6991517233119323e-21,-20.574360746862983,-12.650788543055086
Ridge_AllHorizons_alpha_100,Ridge,all_horizons,0.0,6.055409046597977,2.891920163037249,5.447629167480809,9.826677809275877,22.007230040642334,-21.135383576956237,0.9070904645476773,9.103203243108453,0.9067918223423664,15.017843421169893,0,-0.3785579885325685,-1.4981658954929316,-0.20114446520689455,131,50,-0.42221752655928546,-0.3332949099036657,100.0,1.0176682242710726e-56,-21.135383576956237,-13.008871166283093
Ridge_AllHorizons_alpha_500,Ridge,all_horizons,0.0,6.0548871829090105,2.8966432285780357,5.451073955057818,9.816944365091178,21.944107243422337,-21.064477404693374,0.9070904645476773,9.096640906299799,0.917602449591408,14.985224421132218,0,-0.37907985222153506,-1.5612886927129281,-0.20770680201554903,133,48,-0.42225486714225935,-0.3362422348410428,100.0,1.504848120601468e-61,-21.064477404693374,-12.977620899372422
Ridge_AllHorizons_alpha_1000,Ridge,all_horizons,0.0,6.0560714184688615,2.902660253775605,5.454387421937301,9.81116657969368,21.873661291027272,-20.97871297290025,0.9046454767726161,9.094704143310373,0.9288966905256776,14.97668677539839,0,-0.37789561666168403,-1.6317346451079935,-0.20964356500497416,133,48,-0.4202095069616503,-0.3368970937813892,100.0,9.736747156732665e-66,-20.97871297290025,-12.928036710546847
