cyclone_id,timestamp,vmax_curr,actual_plus_24h,actual_dv24,Baseline Clean K=7_pred_dv24,Baseline Clean K=7_pred_v24,Baseline Clean K=7_trend,Baseline Clean K=7_ri_prob,Exp 1A: Abs+Delta (Recon)_pred_dv24,Exp 1A: Abs+Delta (Recon)_pred_v24,Exp 1A: Abs+Delta (Recon)_trend,Exp 1A: Abs+Delta (Recon)_ri_prob,Exp 1A: Abs+Delta (Direct)_pred_dv24,Exp 1A: Abs+Delta (Direct)_pred_v24,Exp 1A: Abs+Delta (Direct)_trend,Exp 1A: Abs+Delta (Direct)_ri_prob,Exp 1B: Delta-Only (Recon)_pred_dv24,Exp 1B: Delta-Only (Recon)_pred_v24,Exp 1B: Delta-Only (Recon)_trend,Exp 1B: Delta-Only (Recon)_ri_prob,Exp 2: Weighted (moderate)_pred_dv24,Exp 2: Weighted (moderate)_pred_v24,Exp 2: Weighted (moderate)_trend,Exp 2: Weighted (moderate)_ri_prob,Exp 2: Weighted (strong)_pred_dv24,Exp 2: Weighted (strong)_pred_v24,Exp 2: Weighted (strong)_trend,Exp 2: Weighted (strong)_ri_prob
200522S,2005031009,60.0,100.0,40.0,-25.0,35.0,WEAK,2.28e-05,-28.828125,31.171875,WEAK,0.00016605854,-29.33,30.67,WEAK,0.00016605854,-27.640625,32.359375,WEAK,0.00090408325,-28.296875,31.703125,WEAK,0.00071811676,-26.25,33.75,WEAK,0.0007042885
201504S,2014122900,65.0,105.0,40.0,-14.0,51.0,WEAK,5.436e-05,-12.578125,52.421875,WEAK,0.0004711151,-8.380000000000003,56.62,WEAK,0.0004711151,-20.390625,44.609375,WEAK,0.00028467178,-19.46875,45.53125,WEAK,0.00021827221,-18.984375,46.015625,WEAK,0.00017130375
200309E,2003082306,40.0,70.0,30.0,-5.0,35.0,STAB,0.0002003,-2.8300781,37.16992,STAB,0.000767231,-3.3800000000000026,36.62,STAB,0.000767231,2.2089844,42.208984,STAB,0.00349617,2.5605469,42.560547,STAB,0.00074386597,-0.54052734,39.459473,STAB,0.00038909912
200815S,2008012918,55.0,85.0,30.0,-0.060000000000002274,54.94,STAB,5.066e-05,-14.75,40.25,WEAK,0.00017535686,-15.560000000000002,39.44,WEAK,0.00017535686,-7.8632812,47.13672,STAB,0.00032258034,-17.640625,37.359375,WEAK,8.612871e-05,-14.65625,40.34375,WEAK,7.1406364e-05
201011L,2010091200,65.0,130.0,65.0,20.939999999999998,85.94,INTE,0.0164,7.2382812,72.23828,INTE,0.0031471252,6.060000000000002,71.06,INTE,0.0031471252,1.3535156,66.353516,STAB,0.0008263588,0.0357666,65.03577,STAB,0.0004785061,3.2128906,68.21289,STAB,0.00063610077
201018L,2010101118,60.0,90.0,30.0,-21.6,38.4,WEAK,1.085e-05,-14.390625,45.609375,WEAK,0.000107228756,-20.299999999999997,39.7,WEAK,0.000107228756,-5.8242188,54.17578,STAB,0.00015842915,-6.4296875,53.570312,STAB,7.253885e-05,-13.5234375,46.476562,WEAK,9.316206e-05
201107E,2011081712,45.0,75.0,30.0,-1.0,44.0,STAB,3.916e-05,4.6445312,49.64453,STAB,0.0009326935,2.780000000000001,47.78,STAB,0.0009326935,5.0585938,50.058594,STAB,0.0004339218,1.3994141,46.399414,STAB,0.00017952919,4.2070312,49.20703,STAB,0.0002632141
201419W,2014100618,90.0,155.0,65.0,20.299999999999997,110.3,INTE,0.77,15.84375,105.84375,INTE,0.07092285,4.599999999999994,94.6,INTE,0.07092285,22.265625,112.265625,INTE,0.4362793,35.65625,125.65625,INTE,0.9902344,22.875,112.875,INTE,0.29003906
201516W,2015082212,75.0,105.0,30.0,-10.060000000000002,64.94,WEAK,0.0001177,-18.75,56.25,WEAK,0.00031018257,-18.939999999999998,56.06,WEAK,0.00031018257,-12.859375,62.140625,WEAK,0.0009660721,-15.3671875,59.632812,WEAK,0.00071525574,-14.015625,60.984375,WEAK,0.00039815903
201601L,2016011312,45.0,75.0,30.0,-4.060000000000002,40.94,WEAK,1.544e-05,-2.5019531,42.498047,STAB,0.00042891502,-3.75,41.25,STAB,0.00042891502,-7.5742188,37.42578,STAB,8.547306e-05,-5.765625,39.234375,STAB,9.030104e-05,-12.109375,32.890625,WEAK,3.707409e-05
