cyclone_id,timestamp,vmax_curr,vmax_plus_24h,actual_dv24,Baseline K=7_pred_dv24,Baseline K=7_trend,Baseline K=7_ri_prob,Variable-K (K=3)_pred_dv24,Variable-K (K=3)_trend,Variable-K (K=3)_ri_prob,Variable-K (K=5)_pred_dv24,Variable-K (K=5)_trend,Variable-K (K=5)_ri_prob,Variable-K (K=7)_pred_dv24,Variable-K (K=7)_trend,Variable-K (K=7)_ri_prob
200522S,2005031009,60.0,100.0,40.0,-25.0,WEAK,2.28e-05,-34.61,WEAK,7.486e-05,-34.769999999999996,WEAK,0.0001334,-32.39,WEAK,0.0001674
201504S,2014122900,65.0,105.0,40.0,-14.0,WEAK,5.436e-05,-10.659999999999997,WEAK,0.0001187,-19.799999999999997,WEAK,0.0001187,-20.97,WEAK,0.00011504
200309E,2003082306,40.0,70.0,30.0,-5.0,STAB,0.0002003,-4.219999999999999,STAB,0.0003982,-1.5300000000000011,STAB,0.0004692,-3.1599999999999966,STAB,0.000374
200815S,2008012918,55.0,85.0,30.0,-0.060000000000002274,STAB,5.066e-05,3.219999999999999,STAB,0.0006695,-6.719999999999999,STAB,0.0002099,-10.219999999999999,WEAK,0.000166
201011L,2010091200,65.0,130.0,65.0,20.939999999999998,INTE,0.0164,34.75,INTE,0.9473,27.5,INTE,0.608,28.5,INTE,0.7485
201018L,2010101118,60.0,90.0,30.0,-21.6,WEAK,1.085e-05,-24.03,WEAK,3.046e-05,-23.97,WEAK,3.02e-05,-26.9,WEAK,3.046e-05
201107E,2011081712,45.0,75.0,30.0,-1.0,STAB,3.916e-05,-4.219999999999999,STAB,0.0001398,-2.780000000000001,STAB,0.0001726,-1.9699999999999989,STAB,0.0002099
201419W,2014100618,90.0,155.0,65.0,20.299999999999997,INTE,0.77,29.900000000000006,INTE,0.9907,19.25,INTE,0.7417,20.439999999999998,INTE,0.862
201516W,2015082212,75.0,105.0,30.0,-10.060000000000002,WEAK,0.0001177,-23.28,WEAK,0.0001897,-20.6,WEAK,0.0001897,-22.78,WEAK,0.0001634
201601L,2016011312,45.0,75.0,30.0,-4.060000000000002,WEAK,1.544e-05,-7.219999999999999,STAB,0.0001047,-7.469999999999999,STAB,0.00010073,-7.969999999999999,STAB,9.84e-05
201613S,2016021518,55.0,85.0,30.0,-8.380000000000003,STAB,3.27e-05,-4.75,STAB,0.0001911,-7.159999999999997,STAB,0.0001523,-6.030000000000001,STAB,0.0001795
201615S,2016031606,65.0,125.0,60.0,23.400000000000006,INTE,0.2632,12.400000000000006,INTE,0.007095,16.25,INTE,0.01401,17.400000000000006,INTE,0.0462
200519S,2005021400,70.0,125.0,55.0,37.8,INTE,0.9995,45.94,INTE,0.9985,45.099999999999994,INTE,0.999,43.400000000000006,INTE,0.9976
200611E,2006082818,40.0,95.0,55.0,9.119999999999997,INTE,0.00053,13.840000000000003,INTE,0.01456,12.469999999999999,INTE,0.01439,11.969999999999999,INTE,0.012825
200720S,2007032506,35.0,90.0,55.0,22.5,INTE,0.3206,34.400000000000006,INTE,0.9956,29.75,INTE,0.984,32.25,INTE,0.992
200908E,2009080418,65.0,115.0,50.0,23.939999999999998,INTE,0.2673,23.900000000000006,INTE,0.3413,21.0,INTE,0.1239,20.25,INTE,0.0732
201311W,2013080912,35.0,90.0,55.0,12.700000000000003,INTE,0.01851,8.719999999999999,INTE,0.00468,8.5,INTE,0.006073,8.030000000000001,INTE,0.004925
200518S,2005021306,45.0,120.0,75.0,14.619999999999997,INTE,0.00082,4.200000000000003,STAB,0.0009327,6.899999999999999,INTE,0.00133,9.880000000000003,INTE,0.001889
200310L,2003083000,65.0,110.0,45.0,25.400000000000006,INTE,0.3926,35.2,INTE,0.9917,35.75,INTE,0.995,31.299999999999997,INTE,0.9683
200625W,2006120900,65.0,100.0,35.0,37.3,INTE,1.0,38.25,INTE,0.9985,35.8,INTE,0.995,35.900000000000006,INTE,0.994
