episode_idx,cyclone_id,onset_ts,onset_vmax,peak_actual_dv24,Baseline K=7_rec_trend,Baseline K=7_trend_lag_h,Baseline K=7_rec_ri,Baseline K=7_ri_lag_h,Baseline K=7_max_pred_dv24,Baseline K=7_missed,Variable-K (K=3)_rec_trend,Variable-K (K=3)_trend_lag_h,Variable-K (K=3)_rec_ri,Variable-K (K=3)_ri_lag_h,Variable-K (K=3)_max_pred_dv24,Variable-K (K=3)_missed,Variable-K (K=5)_rec_trend,Variable-K (K=5)_trend_lag_h,Variable-K (K=5)_rec_ri,Variable-K (K=5)_ri_lag_h,Variable-K (K=5)_max_pred_dv24,Variable-K (K=5)_missed,Variable-K (K=7)_rec_trend,Variable-K (K=7)_trend_lag_h,Variable-K (K=7)_rec_ri,Variable-K (K=7)_ri_lag_h,Variable-K (K=7)_max_pred_dv24,Variable-K (K=7)_missed
1,200309E,2003082306,40.0,45.0,0,,0,,-2.5600000000000023,1,0,,0,,6.340000000000003,1,0,,0,,-1.5300000000000011,1,0,,0,,-2.780000000000001,1
2,200310L,2003082912,50.0,45.0,1,0.0,1,6.0,37.56,0,1,0.0,1,0.0,42.3,0,1,0.0,1,0.0,42.0,0,1,0.0,1,0.0,42.2,0
3,200312W,2003082000,30.0,30.0,1,3.0,0,,10.799999999999997,0,1,0.0,1,3.0,21.840000000000003,0,1,0.0,1,3.0,20.159999999999997,0,1,0.0,0,,15.659999999999997,0
4,200312W,2003082018,45.0,30.0,1,0.0,0,,14.75,0,1,0.0,1,0.0,31.900000000000006,0,1,0.0,1,0.0,30.75,0,1,0.0,1,0.0,30.700000000000003,0
5,200319S,2003022612,35.0,30.0,1,0.0,1,0.0,23.0,0,1,0.0,1,0.0,33.599999999999994,0,1,0.0,1,0.0,31.0,0,1,0.0,1,0.0,28.700000000000003,0
6,200319S,2003022700,45.0,30.0,1,0.0,1,0.0,22.599999999999994,0,1,0.0,0,,10.530000000000001,0,1,0.0,0,,15.030000000000001,0,1,0.0,0,,15.380000000000003,0
7,200319S,2003022718,70.0,40.0,1,0.0,1,0.0,39.0,0,1,0.0,1,0.0,34.599999999999994,0,1,0.0,1,0.0,34.94,0,1,0.0,1,0.0,37.099999999999994,0
8,200320W,2003101915,43.0,60.0,1,0.0,1,15.0,33.44,0,1,6.0,1,12.0,41.7,0,1,9.0,1,15.0,38.900000000000006,0,1,12.0,1,15.0,36.80000000000001,0
9,200412E,2004091412,35.0,30.0,1,0.0,0,,9.0,0,1,0.0,1,0.0,29.700000000000003,0,1,0.0,1,0.0,24.75,0,1,0.0,1,0.0,26.22,0
10,200413E,2004091200,45.0,55.0,1,3.0,0,,11.780000000000001,0,1,0.0,1,0.0,28.799999999999997,0,1,0.0,1,0.0,23.900000000000006,0,1,0.0,1,0.0,25.0,0
11,200419W,2004081900,30.0,30.0,1,0.0,1,0.0,30.619999999999997,0,1,0.0,1,0.0,32.0,0,1,0.0,1,0.0,33.7,0,1,0.0,1,0.0,34.25,0
12,200419W,2004082100,65.0,60.0,1,0.0,1,0.0,33.099999999999994,0,1,0.0,1,0.0,43.5,0,1,0.0,1,0.0,43.099999999999994,0,1,0.0,1,0.0,41.400000000000006,0
13,200420S,2004032415,58.0,50.0,1,15.0,1,18.0,18.060000000000002,0,1,6.0,1,9.0,43.8,0,1,9.0,1,12.0,43.44,0,1,9.0,1,9.0,39.2,0
14,200426W,2004100512,45.0,30.0,1,0.0,1,0.0,24.400000000000006,0,1,0.0,1,0.0,22.599999999999994,0,1,0.0,1,0.0,20.5,0,1,0.0,1,0.0,22.099999999999994,0
15,200426W,2004100609,70.0,60.0,1,0.0,1,12.0,16.400000000000006,0,1,0.0,1,6.0,18.299999999999997,0,1,0.0,1,3.0,17.439999999999998,0,1,0.0,1,3.0,18.099999999999994,0
16,200514S,2005020303,25.0,35.0,1,0.0,1,0.0,30.97,0,1,0.0,1,0.0,34.84,0,1,0.0,1,0.0,35.38,0,1,0.0,1,0.0,35.84,0
17,200518S,2005021221,38.0,75.0,1,0.0,1,0.0,26.200000000000003,0,1,0.0,1,0.0,31.599999999999994,0,1,0.0,1,0.0,28.299999999999997,0,1,0.0,1,0.0,26.75,0
18,200519S,2005021400,70.0,55.0,1,0.0,1,0.0,37.900000000000006,0,1,0.0,1,0.0,47.599999999999994,0,1,0.0,1,0.0,46.900000000000006,0,1,0.0,1,0.0,43.900000000000006,0
19,200522S,2005030509,25.0,75.0,1,0.0,1,0.0,40.900000000000006,0,1,0.0,1,0.0,41.400000000000006,0,1,0.0,1,0.0,44.06,0,1,0.0,1,0.0,46.2,0
20,200522S,2005031009,60.0,65.0,0,,0,,-18.0,1,0,,0,,-1.3800000000000026,1,0,,0,,-13.899999999999999,1,0,,0,,-26.58,1
21,200522S,2005031406,100.0,30.0,0,,0,,-30.060000000000002,1,0,,0,,-49.22,1,0,,0,,-45.97,1,0,,0,,-43.03,1
22,200611E,2006082818,40.0,55.0,1,0.0,0,,9.119999999999997,0,1,0.0,1,6.0,23.099999999999994,0,1,0.0,1,12.0,20.939999999999998,0,1,0.0,1,12.0,18.25,0
23,200623W,2006110815,20.0,85.0,1,0.0,1,21.0,22.900000000000006,0,1,0.0,1,9.0,31.25,0,1,0.0,1,21.0,29.75,0,1,0.0,1,18.0,29.599999999999994,0
24,200625W,2006120800,35.0,30.0,1,0.0,1,0.0,25.799999999999997,0,1,0.0,0,,12.969999999999999,0,1,0.0,0,,15.399999999999999,0,1,0.0,0,,17.9,0
25,200625W,2006120900,65.0,35.0,1,0.0,1,0.0,40.8,0,1,0.0,1,0.0,47.099999999999994,0,1,0.0,1,0.0,44.75,0,1,0.0,1,0.0,43.0,0
26,200705W,2007072818,30.0,40.0,1,0.0,1,15.0,33.0,0,1,0.0,1,0.0,39.3,0,1,0.0,1,12.0,35.400000000000006,0,1,0.0,1,12.0,36.06,0
27,200705W,2007073012,75.0,35.0,1,0.0,1,0.0,40.099999999999994,0,1,0.0,1,0.0,41.25,0,1,0.0,1,0.0,42.44,0,1,0.0,1,0.0,40.400000000000006,0
28,200713W,2007091512,30.0,60.0,1,0.0,1,0.0,45.2,0,1,0.0,1,0.0,48.400000000000006,0,1,0.0,1,0.0,45.0,0,1,0.0,1,0.0,44.06,0
29,200720S,2007032506,35.0,55.0,1,0.0,1,0.0,22.5,0,1,0.0,1,0.0,34.400000000000006,0,1,0.0,1,0.0,33.25,0,1,0.0,1,0.0,32.25,0
30,200801I,2008042700,25.0,35.0,1,0.0,0,,19.22,0,1,0.0,1,0.0,22.03,0,1,0.0,1,0.0,23.47,0,1,0.0,1,0.0,22.840000000000003,0
31,200801I,2008043012,65.0,45.0,1,15.0,0,,10.099999999999994,0,1,9.0,0,,11.700000000000003,0,0,,0,,3.9399999999999977,1,0,,0,,0.09999999999999432,1
32,200809E,2008080806,60.0,40.0,1,0.0,1,12.0,17.75,0,1,0.0,1,3.0,37.56,0,1,0.0,1,3.0,33.75,0,1,0.0,1,3.0,31.400000000000006,0
33,200815S,2008012918,55.0,30.0,0,,0,,1.1599999999999966,1,0,,0,,5.030000000000001,1,0,,0,,-4.399999999999999,1,0,,0,,-8.780000000000001,1
34,200819W,2008092418,50.0,45.0,1,0.0,1,0.0,38.06,0,1,0.0,1,0.0,39.0,0,1,0.0,1,0.0,38.900000000000006,0,1,0.0,1,0.0,38.099999999999994,0
35,200907W,2009071612,30.0,30.0,1,0.0,0,,16.200000000000003,0,1,0.0,0,,11.159999999999997,0,1,0.0,0,,13.840000000000003,0,1,0.0,0,,14.719999999999999,0
36,200908E,2009080412,55.0,50.0,1,0.0,1,6.0,30.900000000000006,0,1,0.0,1,6.0,39.599999999999994,0,1,0.0,1,6.0,31.75,0,1,0.0,1,6.0,28.560000000000002,0
37,200910E,2009081218,30.0,30.0,1,0.0,1,0.0,19.5,0,1,0.0,1,0.0,29.97,0,1,0.0,1,0.0,29.28,0,1,0.0,1,0.0,27.119999999999997,0
38,200910E,2009081321,60.0,40.0,1,0.0,0,,13.5,0,1,0.0,1,0.0,33.900000000000006,0,1,0.0,1,0.0,35.099999999999994,0,1,0.0,1,0.0,33.400000000000006,0
39,200922S,2009031718,35.0,45.0,1,0.0,1,6.0,34.2,0,1,0.0,1,0.0,43.0,0,1,0.0,1,0.0,43.599999999999994,0,1,0.0,1,0.0,44.06,0
40,200922W,2009101606,65.0,35.0,1,0.0,1,0.0,42.3,0,1,0.0,1,0.0,45.599999999999994,0,1,0.0,1,0.0,41.0,0,1,0.0,1,0.0,41.25,0
41,201003I,2010053112,30.0,65.0,1,15.0,1,24.0,11.5,0,1,9.0,1,9.0,32.06,0,1,6.0,1,12.0,29.099999999999994,0,1,12.0,1,12.0,21.0,0
42,201008W,2010082909,45.0,35.0,1,0.0,1,3.0,25.099999999999994,0,1,3.0,1,3.0,24.400000000000006,0,1,6.0,1,9.0,25.400000000000006,0,1,6.0,1,15.0,27.599999999999994,0
43,201011L,2010091006,30.0,30.0,0,,0,,6.380000000000003,1,1,0.0,0,,11.5,0,0,,0,,6.469999999999999,1,1,0.0,0,,8.780000000000001,0
44,201011L,2010091112,60.0,65.0,1,6.0,1,9.0,37.56,0,1,6.0,1,6.0,39.400000000000006,0,1,3.0,1,9.0,37.3,0,1,6.0,1,9.0,37.25,0
45,201012S,2010020300,55.0,50.0,1,0.0,1,0.0,37.5,0,1,0.0,1,0.0,31.400000000000006,0,1,0.0,1,0.0,31.25,0,1,0.0,1,0.0,29.900000000000006,0
46,201015W,2010101318,50.0,35.0,1,0.0,0,,6.700000000000003,0,1,0.0,1,3.0,30.099999999999994,0,1,0.0,1,3.0,28.939999999999998,0,1,0.0,1,0.0,31.060000000000002,0
47,201015W,2010101518,90.0,50.0,1,0.0,1,0.0,31.939999999999998,0,1,0.0,1,0.0,38.0,0,1,0.0,1,0.0,37.599999999999994,0,1,0.0,1,0.0,37.2,0
48,201018L,2010101118,60.0,30.0,0,,0,,-21.6,1,0,,0,,-24.03,1,0,,0,,-23.97,1,0,,0,,-26.9,1
49,201104W,2011052403,65.0,45.0,1,0.0,1,0.0,46.5,0,1,0.0,1,0.0,45.599999999999994,0,1,0.0,1,0.0,43.44,0,1,0.0,1,0.0,44.5,0
50,201107E,2011081712,45.0,30.0,0,,0,,-1.0,1,0,,0,,-4.219999999999999,1,0,,0,,-2.780000000000001,1,0,,0,,-1.9699999999999989,1
51,201110W,2011072600,35.0,30.0,1,0.0,0,,12.880000000000003,0,1,0.0,0,,8.399999999999999,0,1,0.0,0,,6.530000000000001,0,1,0.0,0,,7.969999999999999,0
52,201119W,2011091612,35.0,30.0,1,0.0,0,,18.159999999999997,0,1,0.0,1,0.0,17.939999999999998,0,1,0.0,0,,12.030000000000001,0,1,0.0,0,,14.030000000000001,0
53,201122W,2011092903,65.0,40.0,1,0.0,1,0.0,25.560000000000002,0,1,0.0,1,0.0,40.56,0,1,0.0,1,0.0,36.8,0,1,0.0,1,0.0,34.099999999999994,0
54,201204W,2012060118,45.0,35.0,1,0.0,1,0.0,35.099999999999994,0,1,0.0,1,0.0,30.200000000000003,0,1,0.0,1,0.0,33.25,0,1,0.0,1,0.0,32.94,0
55,201207E,2012080712,30.0,30.0,1,0.0,1,0.0,23.659999999999997,0,1,0.0,1,0.0,24.75,0,1,0.0,1,0.0,27.75,0,1,0.0,1,0.0,27.47,0
56,201212S,2012020912,35.0,70.0,1,0.0,1,0.0,33.400000000000006,0,1,0.0,1,0.0,39.900000000000006,0,1,0.0,1,0.0,38.400000000000006,0,1,0.0,1,0.0,37.900000000000006,0
57,201216E,2012101412,50.0,50.0,1,0.0,1,0.0,22.439999999999998,0,1,0.0,1,0.0,24.25,0,1,0.0,1,0.0,22.400000000000006,0,1,0.0,1,0.0,22.099999999999994,0
58,201307E,2013073018,35.0,30.0,1,0.0,0,,14.119999999999997,0,1,0.0,1,0.0,33.8,0,1,0.0,1,0.0,26.900000000000006,0,1,0.0,1,0.0,26.0,0
59,201311W,2013080906,30.0,55.0,1,0.0,1,6.0,39.3,0,1,0.0,1,12.0,41.25,0,1,0.0,1,12.0,38.75,0,1,0.0,1,12.0,33.5,0
60,201317S,2013022400,30.0,30.0,1,0.0,0,,12.219999999999999,0,1,0.0,0,,9.969999999999999,0,1,0.0,0,,10.530000000000001,0,1,0.0,0,,10.200000000000003,0
61,201404S,2013121712,30.0,30.0,1,0.0,1,0.0,21.75,0,1,0.0,1,0.0,32.03,0,1,0.0,1,0.0,24.560000000000002,0,1,0.0,1,0.0,23.22,0
62,201404S,2013121806,50.0,45.0,1,0.0,1,0.0,31.75,0,1,0.0,1,0.0,37.75,0,1,0.0,1,0.0,35.0,0,1,0.0,1,0.0,33.06,0
63,201411W,2014073121,55.0,80.0,1,0.0,1,15.0,25.599999999999994,0,1,0.0,1,0.0,56.0,0,1,0.0,1,0.0,46.599999999999994,0,1,0.0,1,0.0,40.5,0
64,201415E,2014091221,58.0,55.0,1,9.0,1,18.0,22.25,0,1,9.0,1,12.0,29.900000000000006,0,1,9.0,1,18.0,28.900000000000006,0,1,9.0,1,18.0,27.400000000000006,0
65,201419W,2014100406,60.0,30.0,0,,0,,1.2000000000000028,1,1,0.0,0,,10.900000000000006,0,1,0.0,0,,8.400000000000006,0,1,0.0,0,,11.599999999999994,0
66,201419W,2014100606,90.0,65.0,1,0.0,1,0.0,28.80000000000001,0,1,0.0,1,0.0,34.5,0,1,0.0,1,6.0,30.19999999999999,0,1,0.0,1,0.0,25.900000000000006,0
67,201421S,2014032818,35.0,75.0,1,0.0,1,3.0,32.8,0,1,0.0,1,3.0,44.900000000000006,0,1,0.0,1,3.0,46.3,0,1,0.0,1,3.0,44.5,0
68,201503C,2015082815,60.0,55.0,1,6.0,1,9.0,28.299999999999997,0,1,6.0,1,6.0,23.900000000000006,0,1,0.0,1,9.0,21.900000000000006,0,1,3.0,1,15.0,20.75,0
69,201504S,2014122506,35.0,60.0,1,18.0,0,,10.060000000000002,0,1,3.0,1,18.0,20.75,0,0,,0,,4.25,1,0,,0,,3.469999999999999,1
